Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BT41 3SB,Yes,54.758226,-6.463627,112941,549509,NW129495,12/1/1984 12:00:00 AM,,13,32,10,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SD,No,54.755521,-6.467131,112696,549223,NW126492,12/1/1984 12:00:00 AM,1/1/2014 12:00:00 AM,15,,,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SE,Yes,54.752459,-6.488712,111287,548971,NW112489,12/1/1984 12:00:00 AM,,14,38,16,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SF,Yes,54.758047,-6.472907,112343,549527,NW123495,12/1/1984 12:00:00 AM,,14,33,6,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SG,Yes,54.746481,-6.511671,109768,548402,NW097484,12/1/1984 12:00:00 AM,,14,41,16,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SH,Yes,54.755005,-6.516639,109509,549370,NW095493,12/1/1984 12:00:00 AM,,17,,,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SJ,Yes,54.752016,-6.521237,109192,549057,NW091490,12/1/1984 12:00:00 AM,,17,39,12,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SL,Yes,54.761205,-6.503564,110394,550005,NW103500,12/1/1984 12:00:00 AM,,15,70,23,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SN,Yes,54.760492,-6.509168,110029,549949,NW100499,12/1/1984 12:00:00 AM,,17,41,20,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SP,Yes,54.766261,-6.507060,110206,550581,NW102505,12/1/1984 12:00:00 AM,,20,73,22,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SQ,Yes,54.752069,-6.510922,109856,549020,NW098490,12/1/1984 12:00:00 AM,,15,12,4,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SR,Yes,54.772063,-6.511337,109972,551244,NW099512,12/1/1984 12:00:00 AM,,19,48,15,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SS,Yes,54.769776,-6.503590,110454,550958,NW104509,12/1/1984 12:00:00 AM,,18,68,20,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3ST,Yes,54.766243,-6.499028,110722,550546,NW107505,12/1/1984 12:00:00 AM,,19,50,14,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SW,Yes,54.761368,-6.505174,110292,550030,NW102500,12/1/1984 12:00:00 AM,,15,16,6,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3SY,Yes,54.762616,-6.502922,110446,550159,NW104501,11/1/2003 12:00:00 AM,,14,28,6,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3TA,Yes,54.761007,-6.507953,110111,550001,NW101500,6/1/1996 12:00:00 AM,,15,50,12,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3TY,Yes,54.763120,-6.500014,110636,550203,NW106502,12/1/2001 12:00:00 AM,,15,16,5,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3UA,Yes,54.768605,-6.514277,109759,550872,NW097508,6/1/2002 12:00:00 AM,,22,20,5,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT41 3UF,Yes,54.759283,-6.491285,111170,549740,NW111497,2/1/2005 12:00:00 AM,,12,,,,,,Northern Ireland Water,,Mid Ulster,Ballymaguigan,
BT44 8BE,Yes,54.869426,-6.511069,110688,562066,NW106620,8/1/1992 12:00:00 AM,,34,44,13,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8DT,Yes,54.872955,-6.486247,112304,562356,NW123623,8/1/2007 12:00:00 AM,,18,25,8,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8DU,Yes,54.873968,-6.483903,112462,562459,NW124624,6/1/2000 12:00:00 AM,,15,43,15,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8DX,Yes,54.873646,-6.487560,112225,562438,NW122624,6/1/1998 12:00:00 AM,,16,25,9,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8DY,Yes,54.873821,-6.485747,112342,562450,NW123624,6/1/1998 12:00:00 AM,,17,79,26,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8DZ,Yes,54.873535,-6.484480,112422,562413,NW124624,6/1/1998 12:00:00 AM,,17,38,10,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8FA,Yes,54.844862,-6.486116,112112,559232,NW121592,2/1/2020 12:00:00 AM,,28,,,,,,Northern Ireland Water,,Mid Ulster,Bellaghy,
BT44 8FF,Yes,54.870248,-6.508468,110860,562147,NW108621,1/1/2019 12:00:00 AM,,28,,,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JA,Yes,54.873280,-6.507343,110954,562479,NW109624,12/1/1984 12:00:00 AM,,23,32,9,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JB,Yes,54.878602,-6.498904,111533,563036,NW115630,12/1/1984 12:00:00 AM,,15,67,24,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JD,Yes,54.877830,-6.505570,111100,562977,NW111629,12/1/1984 12:00:00 AM,,31,11,3,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JE,Yes,54.874471,-6.510711,110747,562625,NW107626,12/1/1984 12:00:00 AM,,41,,,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JF,Yes,54.887243,-6.536343,109196,564151,NW091641,12/1/1984 12:00:00 AM,,48,76,22,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JG,Yes,54.891840,-6.525765,109907,564618,NW099646,12/1/1984 12:00:00 AM,,43,26,8,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JH,Yes,54.884381,-6.521877,110102,563773,NW101637,12/1/1984 12:00:00 AM,,34,55,16,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JJ,Yes,54.885374,-6.509717,110889,563833,NW108638,12/1/1984 12:00:00 AM,,23,19,6,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JL,Yes,54.885034,-6.505475,111158,563778,NW111637,12/1/1984 12:00:00 AM,,21,54,14,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JN,Yes,54.906549,-6.517821,110522,566221,NW105662,12/1/1984 12:00:00 AM,,33,65,19,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JP,Yes,54.905518,-6.518779,110453,566110,NW104661,12/1/1984 12:00:00 AM,,31,16,5,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JQ,Yes,54.889295,-6.524035,109999,564328,NW099643,12/1/1984 12:00:00 AM,,39,27,7,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JS,Yes,54.872934,-6.483770,112463,562343,NW124623,10/1/2002 12:00:00 AM,,18,13,5,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JT,Yes,54.872162,-6.524692,109834,562427,NW098624,8/1/2007 12:00:00 AM,,32,6,4,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JU,Yes,54.869308,-6.505060,111072,562028,NW110620,12/1/1995 12:00:00 AM,,29,48,12,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JW,Yes,54.905586,-6.512571,110851,566092,NW108660,12/1/1984 12:00:00 AM,,22,9,4,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JX,Yes,54.872564,-6.483706,112464,562302,NW124623,12/1/1984 12:00:00 AM,,19,15,5,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JY,Yes,54.873213,-6.483853,112460,562375,NW124623,12/1/1984 12:00:00 AM,,17,13,7,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8JZ,Yes,54.872518,-6.486465,112287,562308,NW122623,12/1/1984 12:00:00 AM,,18,12,7,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LA,Yes,54.871329,-6.499969,111413,562232,NW114622,12/1/1984 12:00:00 AM,,21,38,11,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LB,Yes,54.870229,-6.505493,111051,562132,NW110621,12/1/1984 12:00:00 AM,,27,34,13,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LD,Yes,54.869294,-6.507569,110911,562037,NW109620,12/1/1984 12:00:00 AM,,35,,,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LE,Yes,54.870012,-6.508991,110825,562123,NW108621,12/1/1984 12:00:00 AM,,31,11,3,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LF,Yes,54.872784,-6.523392,109922,562490,NW099624,12/1/1984 12:00:00 AM,,31,38,14,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LG,Yes,54.874866,-6.538801,108949,562786,NW089627,12/1/1984 12:00:00 AM,,39,82,26,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LH,Yes,54.869497,-6.508044,110882,562061,NW108620,12/1/1984 12:00:00 AM,,34,,,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LJ,Yes,54.871740,-6.524739,109828,562380,NW098623,12/1/1984 12:00:00 AM,,31,58,26,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LL,Yes,54.869719,-6.523270,109908,562149,NW099621,12/1/1984 12:00:00 AM,,30,34,10,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LN,Yes,54.866831,-6.536242,109055,561882,NW090618,12/1/1984 12:00:00 AM,,33,34,8,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LP,Yes,54.871115,-6.573909,106671,562516,NW066625,12/1/1984 12:00:00 AM,,56,26,7,,,,Northern Ireland Water,,Mid Ulster,Tamlaght O'Crilly,
BT44 8LQ,Yes,54.871777,-6.485372,112352,562221,NW123622,12/1/1984 12:00:00 AM,,20,74,36,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LR,Yes,54.854894,-6.559004,107509,560650,NW075606,12/1/1984 12:00:00 AM,,45,,,,,,Northern Ireland Water,,Mid Ulster,Tamlaght O'Crilly,
BT44 8LS,Yes,54.863451,-6.572311,106718,561657,NW067616,12/1/1984 12:00:00 AM,,44,,,,,,Northern Ireland Water,,Mid Ulster,Tamlaght O'Crilly,
BT44 8LT,Yes,54.873850,-6.578050,106426,562837,NW064628,12/1/1984 12:00:00 AM,,45,,,,,,Northern Ireland Water,,Mid Ulster,Tamlaght O'Crilly,
BT44 8LU,Yes,54.858162,-6.554262,107837,560993,NW078609,12/1/1984 12:00:00 AM,,40,29,10,,,,Northern Ireland Water,,Mid Ulster,Tamlaght O'Crilly,
BT44 8LW,Yes,54.868930,-6.553207,107983,562186,NW079621,12/1/1984 12:00:00 AM,,36,100,32,,,,Northern Ireland Water,,Mid Ulster,Tamlaght O'Crilly,
BT44 8LX,Yes,54.862733,-6.545844,108410,561466,NW084614,12/1/1984 12:00:00 AM,,39,23,7,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8LY,Yes,54.849358,-6.555807,107674,560021,NW076600,12/1/1984 12:00:00 AM,,39,34,10,,,,Northern Ireland Water,,Mid Ulster,Bellaghy,
BT44 8LZ,Yes,54.849966,-6.547269,108226,560053,NW082600,12/1/1984 12:00:00 AM,,47,31,12,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NA,Yes,54.868056,-6.509250,110794,561906,NW107619,12/1/1984 12:00:00 AM,,37,94,38,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NB,Yes,54.870703,-6.508981,110831,562199,NW108621,12/1/1995 12:00:00 AM,,27,15,5,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8ND,Yes,54.869362,-6.505821,111024,562037,NW110620,5/1/2005 12:00:00 AM,,32,40,11,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NE,Yes,54.869169,-6.508414,110856,562026,NW108620,6/1/2000 12:00:00 AM,,36,42,14,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NF,Yes,54.870661,-6.485943,112307,562100,NW123620,4/1/1985 12:00:00 AM,,19,36,13,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NG,Yes,54.872766,-6.491208,111985,562355,NW119623,12/1/1984 12:00:00 AM,,15,17,9,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NH,Yes,54.868965,-6.510058,110749,562011,NW107620,12/1/1984 12:00:00 AM,,36,79,25,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NJ,Yes,54.868471,-6.510855,110695,561959,NW106619,12/1/1984 12:00:00 AM,,37,66,29,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NL,Yes,54.864521,-6.507371,110890,561505,NW108615,12/1/1984 12:00:00 AM,,33,62,16,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NN,Yes,54.867799,-6.515397,110399,561903,NW103619,12/1/1984 12:00:00 AM,,37,48,13,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NP,Yes,54.858940,-6.522652,109870,560948,NW098609,12/1/1984 12:00:00 AM,,51,188,51,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NQ,Yes,54.869493,-6.488822,112114,561982,NW121619,12/1/1984 12:00:00 AM,,14,60,20,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NR,Yes,54.859490,-6.509597,110711,560955,NW107609,12/1/1984 12:00:00 AM,,41,,,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NS,Yes,54.850152,-6.514410,110335,559937,NW103599,12/1/1984 12:00:00 AM,,41,41,11,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NT,Yes,54.839465,-6.513962,110287,558747,NW102587,12/1/1984 12:00:00 AM,,36,34,10,,,,Northern Ireland Water,,Mid Ulster,Bellaghy,
BT44 8NU,Yes,54.852792,-6.496033,111533,560155,NW115601,12/1/1984 12:00:00 AM,,30,203,59,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NW,Yes,54.865292,-6.525644,109724,561667,NW097616,12/1/1984 12:00:00 AM,,34,20,4,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8NX,Yes,54.843087,-6.494401,111568,559069,NW115590,12/1/1984 12:00:00 AM,,25,95,28,,,,Northern Ireland Water,,Mid Ulster,Bellaghy,
BT44 8NY,Yes,54.848494,-6.495788,111518,559676,NW115596,12/1/1984 12:00:00 AM,,22,21,6,,,,Northern Ireland Water,,Mid Ulster,Bellaghy,
BT44 8NZ,Yes,54.844974,-6.482157,112367,559229,NW123592,12/1/1984 12:00:00 AM,,26,265,75,,,,Northern Ireland Water,,Mid Ulster,Bellaghy,
BT44 8PA,Yes,54.847089,-6.504170,110970,559554,NW109595,12/1/1984 12:00:00 AM,,31,52,15,,,,Northern Ireland Water,,Mid Ulster,Bellaghy,
BT44 8PD,Yes,54.870661,-6.525354,109781,562262,NW097622,9/1/2012 12:00:00 AM,,32,,,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8PE,Yes,54.871848,-6.500526,111381,562292,NW113622,6/1/2009 12:00:00 AM,,20,,,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT44 8QN,Yes,54.870613,-6.502410,111251,562162,NW112621,7/1/1986 12:00:00 AM,,22,51,19,,,,Northern Ireland Water,,Mid Ulster,Valley,
BT45 5AA,Yes,54.755678,-6.609845,103522,549835,NW035498,12/1/1984 12:00:00 AM,,67,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AB,No,54.756201,-6.608429,103617,549887,NW036498,12/1/1984 12:00:00 AM,5/1/2015 12:00:00 AM,66,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AD,Yes,54.756388,-6.608314,103626,549908,NW036499,8/1/1992 12:00:00 AM,,65,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AE,Yes,54.755755,-6.610293,103494,549846,NW034498,12/1/1984 12:00:00 AM,,65,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AF,Yes,54.756212,-6.611738,103404,549903,NW034499,12/1/1984 12:00:00 AM,,61,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AG,Yes,54.755372,-6.609001,103574,549798,NW035497,12/1/1984 12:00:00 AM,,69,18,8,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AH,Yes,54.755838,-6.612061,103381,549862,NW033498,12/1/1984 12:00:00 AM,,62,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AJ,Yes,54.756012,-6.612288,103367,549883,NW033498,12/1/1984 12:00:00 AM,,60,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AL,Yes,54.756299,-6.613801,103272,549921,NW032499,12/1/1984 12:00:00 AM,,58,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AN,Yes,54.755073,-6.610363,103484,549770,NW034497,2/1/2005 12:00:00 AM,,65,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AP,Yes,54.756333,-6.617605,103028,549941,NW030499,12/1/1984 12:00:00 AM,,65,15,4,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AQ,Yes,54.755464,-6.609946,103514,549812,NW035498,12/1/1984 12:00:00 AM,,67,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AR,Yes,54.755936,-6.622201,102730,549916,NW027499,12/1/1984 12:00:00 AM,,86,65,23,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AS,Yes,54.755979,-6.615707,103147,549893,NW031498,12/1/1984 12:00:00 AM,,61,111,39,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AT,Yes,54.752093,-6.613696,103248,549453,NW032494,12/1/1984 12:00:00 AM,,68,48,16,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AU,Yes,54.753079,-6.614299,103217,549565,NW032495,12/1/1984 12:00:00 AM,,66,32,16,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AW,Yes,54.756312,-6.615804,103144,549931,NW031499,12/1/1984 12:00:00 AM,,61,26,15,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AX,Yes,54.753930,-6.614099,103236,549659,NW032496,12/1/1984 12:00:00 AM,,64,41,18,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AY,Yes,54.755342,-6.614175,103241,549816,NW032498,12/1/1984 12:00:00 AM,,60,50,26,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5AZ,Yes,54.754506,-6.613427,103283,549720,NW032497,12/1/1984 12:00:00 AM,,62,40,18,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BA,Yes,54.753057,-6.613197,103287,549558,NW032495,12/1/1984 12:00:00 AM,,68,58,22,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BB,Yes,54.754907,-6.617048,103053,549780,NW030497,12/1/1984 12:00:00 AM,,69,23,6,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BD,Yes,54.755038,-6.615925,103126,549790,NW031497,12/1/1984 12:00:00 AM,,64,9,5,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BE,Yes,54.754481,-6.615913,103123,549728,NW031497,12/1/1984 12:00:00 AM,,65,41,19,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BF,Yes,54.757167,-6.615076,103197,550023,NW031500,6/1/1997 12:00:00 AM,,61,25,12,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BG,Yes,54.753728,-6.616032,103110,549645,NW031496,12/1/1984 12:00:00 AM,,69,41,10,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BH,Yes,54.755267,-6.616274,103106,549817,NW031498,12/1/1984 12:00:00 AM,,64,32,15,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BJ,Yes,54.753934,-6.615186,103166,549664,NW031496,12/1/1984 12:00:00 AM,,65,32,16,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BL,Yes,54.754449,-6.616302,103098,549726,NW030497,12/1/1984 12:00:00 AM,,67,74,23,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BN,Yes,54.752431,-6.616527,103069,549503,NW030495,12/1/1984 12:00:00 AM,,69,51,22,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BP,Yes,54.755451,-6.618225,102982,549845,NW029498,12/1/1984 12:00:00 AM,,72,66,30,,,,Northern Ireland Water,,Mid Ulster,Coolshinny,
BT45 5BQ,Yes,54.752807,-6.615675,103126,549541,NW031495,12/1/1984 12:00:00 AM,,67,67,25,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BT,No,54.754070,-6.614560,103207,549676,NW032496,12/1/1984 12:00:00 AM,9/1/2000 12:00:00 AM,63,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BW,Yes,54.753891,-6.616958,103052,549667,NW030496,12/1/1984 12:00:00 AM,,72,88,36,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BX,Yes,54.756819,-6.617728,103024,549995,NW030499,8/1/1993 12:00:00 AM,,65,89,30,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5BY,Yes,54.758973,-6.622206,102751,550254,NW027502,1/1/1992 12:00:00 AM,,73,24,10,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DA,Yes,54.755587,-6.608932,103580,549821,NW035498,12/1/1984 12:00:00 AM,,68,10,2,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DB,Yes,54.756677,-6.612343,103369,549957,NW033499,12/1/1984 12:00:00 AM,,59,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DD,Yes,54.757092,-6.610931,103463,549997,NW034499,12/1/1984 12:00:00 AM,,60,58,22,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DE,Yes,54.757758,-6.611017,103462,550071,NW034500,12/1/1984 12:00:00 AM,,58,8,6,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DF,Yes,54.756737,-6.608939,103588,549949,NW035499,12/1/1984 12:00:00 AM,,64,7,4,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DG,Yes,54.758740,-6.611247,103454,550181,NW034501,12/1/1984 12:00:00 AM,,55,39,15,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DH,Yes,54.759334,-6.610574,103502,550245,NW035502,12/1/1997 12:00:00 AM,,54,27,14,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DJ,Yes,54.759641,-6.603666,103948,550250,NW039502,12/1/1984 12:00:00 AM,,51,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DL,Yes,54.818962,-6.683374,99266,557183,NV992571,12/1/1997 12:00:00 AM,,42,,,,,,Northern Ireland Water,,Mid Ulster,Tobermore,
BT45 5DN,Yes,54.758335,-6.604193,103905,550107,NW039501,12/1/1984 12:00:00 AM,,54,51,22,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DP,Yes,54.754906,-6.612248,103362,549760,NW033497,12/1/1984 12:00:00 AM,,64,28,24,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DR,Yes,54.742976,-6.624054,102515,548483,NW025484,1/1/1992 12:00:00 AM,,92,61,18,,,,Northern Ireland Water,,Mid Ulster,Coolshinny,
BT45 5DS,Yes,54.767714,-6.597111,104429,551119,NW044511,12/1/1984 12:00:00 AM,,66,31,11,,,,Northern Ireland Water,,Mid Ulster,Castledawson,
BT45 5DT,Yes,54.777485,-6.596835,104518,552204,NW045522,12/1/1984 12:00:00 AM,,67,,,,,,Northern Ireland Water,,Mid Ulster,Castledawson,
BT45 5DU,Yes,54.773316,-6.592970,104736,551724,NW047517,12/1/1984 12:00:00 AM,,54,31,9,,,,Northern Ireland Water,,Mid Ulster,Castledawson,
BT45 5DW,Yes,54.756569,-6.611539,103420,549941,NW034499,1/1/1992 12:00:00 AM,,60,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5DX,Yes,54.766377,-6.615227,103254,551047,NW032510,12/1/1984 12:00:00 AM,,56,55,9,,,,Northern Ireland Water,,Mid Ulster,Castledawson,
BT45 5DY,Yes,54.775489,-6.602203,104158,552005,NW041520,12/1/1984 12:00:00 AM,,73,21,6,,,,Northern Ireland Water,,Mid Ulster,Castledawson,
BT45 5DZ,Yes,54.774529,-6.589089,104994,551843,NW049518,12/1/1984 12:00:00 AM,,49,21,6,,,,Northern Ireland Water,,Mid Ulster,Castledawson,
BT45 5EA,Yes,54.780503,-6.604580,104042,552572,NW040525,12/1/1984 12:00:00 AM,,72,15,7,,,,Northern Ireland Water,,Mid Ulster,Castledawson,
BT45 5EB,Yes,54.764275,-6.605899,103839,550774,NW038507,12/1/1984 12:00:00 AM,,59,41,12,,,,Northern Ireland Water,,Mid Ulster,Castledawson,
BT45 5ED,Yes,54.752375,-6.617957,102976,549502,NW029495,2/1/1990 12:00:00 AM,,77,66,22,,,,Northern Ireland Water,,Mid Ulster,Coolshinny,
BT45 5EE,Yes,54.762082,-6.618310,103025,550583,NW030505,1/1/1995 12:00:00 AM,,68,59,15,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5EF,Yes,54.756625,-6.624290,102600,550002,NW026500,12/1/1984 12:00:00 AM,,96,62,23,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5EG,Yes,54.762579,-6.616988,103113,550633,NW031506,12/1/1984 12:00:00 AM,,71,108,18,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5EH,Yes,54.763641,-6.620339,102906,550765,NW029507,12/1/1984 12:00:00 AM,,57,,,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5EJ,Yes,54.768893,-6.620036,102964,551347,NW029513,12/1/1984 12:00:00 AM,,53,,,,,,Northern Ireland Water,,Mid Ulster,Castledawson,
BT45 5EL,Yes,54.774768,-6.629533,102397,552041,NW023520,12/1/1984 12:00:00 AM,,52,50,16,,,,Northern Ireland Water,,Mid Ulster,Tobermore,
BT45 5EN,Yes,54.788116,-6.646197,101424,553595,NW014535,12/1/1984 12:00:00 AM,,39,18,6,,,,Northern Ireland Water,,Mid Ulster,Tobermore,
BT45 5EP,Yes,54.780991,-6.630846,102358,552738,NW023527,12/1/1984 12:00:00 AM,,41,19,8,,,,Northern Ireland Water,,Mid Ulster,Tobermore,
BT45 5EQ,Yes,54.765892,-6.617605,103098,551003,NW030510,12/1/1984 12:00:00 AM,,50,18,6,,,,Northern Ireland Water,,Mid Ulster,Glebe,
BT45 5ER,Yes,54.780445,-6.639055,101827,552712,NW018527,6/1/2003 12:00:00 AM,,41,,,,,,Northern Ireland Water,,Mid Ulster,Tobermore,
BT45 5ES,Yes,54.766026,-6.633402,102084,551085,NW020510,12/1/1984 12:00:00 AM,,49,,,,,,Northern Ireland Water,,Mid Ulster,Tobermore,
BT45 5ET,Yes,54.774819,-6.642880,101539,552103,NW015521,12/1/1984 12:00:00 AM,,48,22,6,,,,Northern Ireland Water,,Mid Ulster,Tobermore,
BT45 5EU,Yes,54.787258,-6.637769,101959,553464,NW019534,12/1/1984 12:00:00 AM,,38,83,21,,,,Northern Ireland Water,,Mid Ulster,Tobermore,
