Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B10 0DQ,No,52.460063,-1.850353,410265,284690,SP102846,6/1/1998 12:00:00 AM,8/1/2015 12:00:00 AM,119,,,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0DT,No,52.463751,-1.859319,409655,285099,SP096850,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,122,,,Small Heath,0.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0DX,Yes,52.465871,-1.858444,409714,285335,SP097853,1/1/1980 12:00:00 AM,,129,2,1,Small Heath,0.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EE,Yes,52.466980,-1.856242,409863,285459,SP098854,1/1/1980 12:00:00 AM,,130,86,42,Small Heath,0.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EF,Yes,52.467683,-1.854390,409989,285537,SP099855,1/1/1980 12:00:00 AM,,129,80,19,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EG,Yes,52.465301,-1.857602,409771,285272,SP097852,1/1/1980 12:00:00 AM,,131,53,13,Small Heath,0.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EH,Yes,52.463017,-1.854876,409957,285018,SP099850,1/1/1980 12:00:00 AM,,127,167,34,Small Heath,0.3,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EN,Yes,52.463288,-1.855950,409884,285048,SP098850,9/1/1991 12:00:00 AM,,126,102,27,Small Heath,0.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EP,Yes,52.461918,-1.852805,410098,284896,SP100848,1/1/1980 12:00:00 AM,,123,64,16,Small Heath,0.5,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EQ,Yes,52.464188,-1.856286,409861,285148,SP098851,1/1/1980 12:00:00 AM,,129,131,26,Small Heath,0.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0ER,Yes,52.461320,-1.851948,410156,284830,SP101848,1/1/1980 12:00:00 AM,,122,24,8,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EU,Yes,52.460952,-1.849938,410293,284789,SP102847,5/1/2011 12:00:00 AM,,119,,,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EW,Yes,52.464198,-1.857066,409808,285149,SP098851,1/1/1992 12:00:00 AM,,128,34,11,Small Heath,0.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EX,Yes,52.463078,-1.852654,410108,285025,SP101850,1/1/1980 12:00:00 AM,,125,121,31,Small Heath,0.5,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0EZ,No,52.463752,-1.852769,410100,285100,SP101851,12/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,126,,,Small Heath,0.4,Birmingham,,,Birmingham,Small Heath,
B10 0HA,Yes,52.464442,-1.851163,410209,285177,SP102851,1/1/1980 12:00:00 AM,,125,121,29,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0HB,Yes,52.465681,-1.849922,410293,285315,SP102853,1/1/1980 12:00:00 AM,,126,85,32,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0HD,No,52.459170,-1.841305,410880,284592,SP108845,6/1/2000 12:00:00 AM,8/1/2016 12:00:00 AM,121,,,Tyseley,0.6,Birmingham,,,Birmingham,Tyseley & Hay Mills,
B10 0HE,No,52.460152,-1.849838,410300,284700,SP102846,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,118,,,Small Heath,0.8,Birmingham,,,Birmingham,Small Heath,
B10 0HH,Yes,52.463771,-1.842431,410802,285104,SP108851,1/1/1980 12:00:00 AM,,113,,,Tyseley,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0HJ,Yes,52.462831,-1.845275,410609,284999,SP106849,9/1/1991 12:00:00 AM,,112,,,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0HP,No,52.461658,-1.846286,410541,284868,SP105848,9/1/1991 12:00:00 AM,3/1/2004 12:00:00 AM,114,,,Small Heath,0.9,Birmingham,,,Birmingham,Small Heath,
B10 0HQ,No,52.462816,-1.845281,410609,284997,SP106849,3/1/2010 12:00:00 AM,8/1/2015 12:00:00 AM,113,,,Small Heath,1.0,Birmingham,,,Birmingham,Small Heath,
B10 0HR,Yes,52.461121,-1.848216,410410,284808,SP104848,10/1/1985 12:00:00 AM,,116,,,Small Heath,0.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0HT,Yes,52.465690,-1.845810,410572,285317,SP105853,1/1/1980 12:00:00 AM,,118,2,2,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0HU,Yes,52.464931,-1.846804,410505,285232,SP105852,1/1/1980 12:00:00 AM,,117,98,29,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0HW,No,52.463979,-1.847867,410433,285126,SP104851,6/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,116,,,Small Heath,0.8,Birmingham,,,Birmingham,Small Heath,
B10 0HX,Yes,52.463055,-1.848842,410367,285023,SP103850,1/1/1980 12:00:00 AM,,116,177,46,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0HY,Yes,52.461672,-1.850348,410265,284869,SP102848,1/1/1980 12:00:00 AM,,120,145,44,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0HZ,Yes,52.461790,-1.850686,410242,284882,SP102848,1/1/1980 12:00:00 AM,,121,119,37,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JA,Yes,52.463118,-1.849342,410333,285030,SP103850,1/1/1980 12:00:00 AM,,118,167,48,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JB,Yes,52.464734,-1.847600,410451,285210,SP104852,1/1/1980 12:00:00 AM,,117,192,51,Small Heath,0.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JD,Yes,52.465974,-1.847036,410489,285348,SP104853,1/1/1980 12:00:00 AM,,120,52,14,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JE,Yes,52.464978,-1.848497,410390,285237,SP103852,1/1/1980 12:00:00 AM,,120,215,57,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JF,Yes,52.463556,-1.850056,410284,285079,SP102850,1/1/1980 12:00:00 AM,,120,152,36,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JG,Yes,52.462267,-1.851420,410192,284935,SP101849,1/1/1980 12:00:00 AM,,123,180,47,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JH,Yes,52.463668,-1.850444,410258,285091,SP102850,1/1/1980 12:00:00 AM,,121,148,32,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JJ,Yes,52.465087,-1.848982,410357,285249,SP103852,1/1/1980 12:00:00 AM,,121,182,46,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JL,Yes,52.466336,-1.848418,410395,285388,SP103853,1/1/1980 12:00:00 AM,,123,85,25,Small Heath,0.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JQ,Yes,52.462474,-1.851699,410173,284958,SP101849,1/1/1980 12:00:00 AM,,124,128,37,Small Heath,0.5,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0JW,No,52.466445,-1.849816,410300,285400,SP103853,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,127,,,Small Heath,0.7,Birmingham,,,Birmingham,Small Heath,
B10 0LP,Yes,52.467853,-1.854007,410015,285556,SP100855,1/1/1980 12:00:00 AM,,128,12,5,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0LT,No,52.467352,-1.855701,409900,285500,SP099855,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,129,,,Small Heath,0.5,Birmingham,,,Birmingham,Small Heath,
B10 0TT,Yes,52.466737,-1.848515,410388,285433,SP103854,1/1/1980 12:00:00 AM,,124,1,1,Small Heath,0.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0TU,Yes,52.466330,-1.846411,410531,285388,SP105853,1/1/1980 12:00:00 AM,,121,54,20,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0TX,Yes,52.465981,-1.845152,410617,285349,SP106853,1/1/1980 12:00:00 AM,,118,51,25,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0TY,Yes,52.465619,-1.843652,410719,285309,SP107853,1/1/1980 12:00:00 AM,,115,64,16,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0TZ,Yes,52.465158,-1.841593,410859,285258,SP108852,1/1/1980 12:00:00 AM,,111,121,31,Small Heath,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0UA,Yes,52.464688,-1.839578,410996,285206,SP109852,1/1/1980 12:00:00 AM,,109,4,1,Tyseley,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0UN,Yes,52.468904,-1.855927,409884,285673,SP098856,1/1/1980 12:00:00 AM,,127,64,20,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0UP,Yes,52.469060,-1.856167,409868,285690,SP098856,1/1/1980 12:00:00 AM,,127,,,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0UR,No,52.464688,-1.839578,410996,285206,SP109852,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,109,,,Tyseley,1.2,Birmingham,,,Birmingham,Small Heath,
B10 0US,Yes,52.468158,-1.853402,410056,285590,SP100855,1/1/1980 12:00:00 AM,,127,23,9,Small Heath,0.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0UT,Yes,52.467589,-1.851623,410177,285527,SP101855,1/1/1980 12:00:00 AM,,129,41,17,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 0UU,Yes,52.467056,-1.849726,410306,285468,SP103854,1/1/1980 12:00:00 AM,,127,45,13,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AA,Yes,52.473266,-1.850672,410240,286159,SP102861,1/1/1980 12:00:00 AM,,131,125,24,Adderley Park,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AB,Yes,52.472200,-1.850621,410244,286040,SP102860,1/1/1980 12:00:00 AM,,127,47,9,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AD,Yes,52.471329,-1.851242,410202,285943,SP102859,1/1/1980 12:00:00 AM,,124,65,14,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AE,Yes,52.470976,-1.849713,410306,285904,SP103859,1/1/1980 12:00:00 AM,,124,169,40,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AF,Yes,52.471305,-1.847018,410489,285941,SP104859,1/1/1980 12:00:00 AM,,124,159,31,Small Heath,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AG,Yes,52.471638,-1.847149,410480,285978,SP104859,1/1/1980 12:00:00 AM,,126,139,29,Small Heath,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AH,Yes,52.471475,-1.853656,410038,285959,SP100859,1/1/1980 12:00:00 AM,,123,147,41,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AJ,Yes,52.471817,-1.853552,410045,285997,SP100859,1/1/1980 12:00:00 AM,,124,135,47,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AL,Yes,52.472589,-1.852740,410100,286083,SP100860,1/1/1980 12:00:00 AM,,127,153,39,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AN,Yes,52.472865,-1.853117,410074,286114,SP100861,1/1/1980 12:00:00 AM,,128,45,10,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AP,Yes,52.472211,-1.852712,410102,286041,SP101860,1/1/1980 12:00:00 AM,,126,137,30,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AQ,Yes,52.471291,-1.849623,410312,285939,SP103859,1/1/1980 12:00:00 AM,,125,132,30,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AR,Yes,52.472803,-1.851031,410216,286107,SP102861,1/1/1980 12:00:00 AM,,129,200,35,Small Heath,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AT,No,52.471841,-1.851270,410200,286000,SP102859,5/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,125,,,Small Heath,1.1,Birmingham,,,Birmingham,Small Heath,
B10 9AW,No,52.471845,-1.854214,410000,286000,SP100860,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,124,,,Small Heath,1.0,Birmingham,,,Birmingham,Small Heath,
B10 9AX,No,52.474527,-1.842428,410800,286300,SP107863,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,130,,,Adderley Park,1.3,Birmingham,,,Birmingham,Small Heath,
B10 9AY,Yes,52.475029,-1.841322,410875,286356,SP108863,1/1/1980 12:00:00 AM,,133,51,31,Adderley Park,1.3,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9AZ,Yes,52.473919,-1.838543,411064,286233,SP110862,1/1/1980 12:00:00 AM,,131,50,16,Adderley Park,1.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BB,Yes,52.472761,-1.839446,411003,286104,SP110861,1/1/1980 12:00:00 AM,,126,184,48,Adderley Park,1.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BD,Yes,52.470893,-1.841057,410894,285896,SP108858,1/1/1980 12:00:00 AM,,117,192,47,Small Heath,1.5,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BE,Yes,52.471054,-1.840364,410941,285914,SP109859,1/1/1980 12:00:00 AM,,120,168,41,Small Heath,1.5,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BG,Yes,52.472706,-1.838857,411043,286098,SP110860,1/1/1980 12:00:00 AM,,127,139,34,Adderley Park,1.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BH,Yes,52.473315,-1.837221,411154,286166,SP111861,1/1/1980 12:00:00 AM,,132,54,17,Adderley Park,1.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BJ,Yes,52.472318,-1.838108,411094,286055,SP110860,1/1/1980 12:00:00 AM,,128,110,29,Adderley Park,1.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BL,Yes,52.470648,-1.839645,410990,285869,SP109858,1/1/1980 12:00:00 AM,,122,111,30,Small Heath,1.5,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BN,Yes,52.470180,-1.839278,411015,285817,SP110858,1/1/1980 12:00:00 AM,,123,74,22,Small Heath,1.5,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BP,Yes,52.472192,-1.837534,411133,286041,SP111860,1/1/1980 12:00:00 AM,,129,101,25,Adderley Park,1.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BS,Yes,52.472557,-1.835457,411274,286082,SP112860,1/1/1980 12:00:00 AM,,132,86,27,Adderley Park,1.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BT,Yes,52.471949,-1.833628,411398,286015,SP113860,1/1/1980 12:00:00 AM,,128,84,22,Adderley Park,2.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BU,Yes,52.474784,-1.839689,410986,286329,SP109863,1/1/1980 12:00:00 AM,,133,167,38,Adderley Park,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BW,No,52.470030,-1.840972,410900,285800,SP108858,6/1/2000 12:00:00 AM,2/1/2001 12:00:00 AM,116,,,Small Heath,1.4,Birmingham,,,Birmingham,Small Heath,
B10 9BX,Yes,52.475369,-1.840334,410942,286394,SP109863,1/1/1980 12:00:00 AM,,134,26,5,Adderley Park,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9BZ,No,52.474525,-1.840956,410900,286300,SP108863,12/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,132,,,Adderley Park,1.4,Birmingham,,,Birmingham,Small Heath,
B10 9DA,No,52.470492,-1.844209,410680,285851,SP106858,12/1/1995 12:00:00 AM,6/1/1998 12:00:00 AM,116,,,Small Heath,1.3,Birmingham,,,Birmingham,Small Heath,
B10 9DB,No,52.470037,-1.846860,410500,285800,SP104857,1/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,120,,,Small Heath,1.1,Birmingham,,,Birmingham,Small Heath,
B10 9DD,Yes,52.470709,-1.845121,410618,285875,SP106858,1/1/1980 12:00:00 AM,,117,95,17,Small Heath,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DE,Yes,52.469954,-1.845138,410617,285791,SP106857,1/1/1980 12:00:00 AM,,119,111,29,Small Heath,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DF,Yes,52.468688,-1.846040,410556,285650,SP105856,1/1/1980 12:00:00 AM,,125,126,26,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DG,Yes,52.467170,-1.847091,410485,285481,SP104854,1/1/1980 12:00:00 AM,,125,158,40,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DH,Yes,52.468606,-1.845525,410591,285641,SP105856,1/1/1980 12:00:00 AM,,125,114,26,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DJ,Yes,52.469936,-1.844593,410654,285789,SP106857,1/1/1980 12:00:00 AM,,118,159,38,Small Heath,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DL,Yes,52.470653,-1.843472,410730,285869,SP107858,1/1/1980 12:00:00 AM,,115,77,18,Small Heath,1.3,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DN,Yes,52.469216,-1.843933,410699,285709,SP106857,1/1/1980 12:00:00 AM,,120,240,60,Small Heath,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DP,Yes,52.466520,-1.845209,410613,285409,SP106854,1/1/1980 12:00:00 AM,,121,45,13,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DQ,Yes,52.467367,-1.846354,410535,285503,SP105855,1/1/1980 12:00:00 AM,,125,132,30,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DR,Yes,52.467832,-1.844351,410671,285555,SP106855,1/1/1980 12:00:00 AM,,124,129,32,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DS,Yes,52.469206,-1.843389,410736,285708,SP107857,1/1/1980 12:00:00 AM,,119,167,43,Small Heath,1.2,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DT,Yes,52.470049,-1.842282,410811,285802,SP108858,1/1/1980 12:00:00 AM,,114,52,15,Small Heath,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DU,Yes,52.469320,-1.841033,410896,285721,SP108857,1/1/1980 12:00:00 AM,,114,51,14,Small Heath,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DW,Yes,52.467320,-1.845265,410609,285498,SP106854,1/1/1980 12:00:00 AM,,124,197,51,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DX,Yes,52.469666,-1.840791,410912,285760,SP109857,1/1/1980 12:00:00 AM,,115,30,10,Small Heath,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9DY,No,52.470501,-1.844209,410680,285852,SP106858,5/1/1994 12:00:00 AM,6/1/1999 12:00:00 AM,116,,,Small Heath,1.3,Birmingham,,,Birmingham,Small Heath,
B10 9EA,Yes,52.470454,-1.842133,410821,285847,SP108858,1/1/1980 12:00:00 AM,,115,21,5,Small Heath,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EB,Yes,52.471042,-1.845046,410623,285912,SP106859,1/1/1980 12:00:00 AM,,119,15,5,Small Heath,1.3,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EH,Yes,52.471500,-1.851772,410166,285962,SP101859,1/1/1980 12:00:00 AM,,124,75,16,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EJ,Yes,52.470583,-1.851893,410158,285860,SP101858,1/1/1980 12:00:00 AM,,122,56,15,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EL,Yes,52.471044,-1.854040,410012,285911,SP100859,1/1/1980 12:00:00 AM,,123,139,36,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EN,Yes,52.470640,-1.853968,410017,285866,SP100858,1/1/1980 12:00:00 AM,,123,109,24,Small Heath,0.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EP,Yes,52.469928,-1.853073,410078,285787,SP100857,1/1/1980 12:00:00 AM,,123,85,19,Small Heath,0.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EQ,Yes,52.470782,-1.852407,410123,285882,SP101858,1/1/1980 12:00:00 AM,,123,60,14,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9ER,Yes,52.470053,-1.854981,409948,285801,SP099858,1/1/1980 12:00:00 AM,,124,192,44,Small Heath,0.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9ES,Yes,52.470119,-1.854426,409986,285808,SP099858,1/1/1980 12:00:00 AM,,124,133,30,Small Heath,0.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9ET,Yes,52.468928,-1.853939,410019,285676,SP100856,1/1/1980 12:00:00 AM,,126,55,18,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EU,Yes,52.469206,-1.853055,410079,285707,SP100857,1/1/1980 12:00:00 AM,,125,148,36,Small Heath,0.7,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EW,No,52.470049,-1.855692,409900,285800,SP099858,1/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,125,,,Small Heath,0.7,Birmingham,,,Birmingham,Small Heath,
B10 9EX,Yes,52.470017,-1.851762,410167,285797,SP101857,1/1/1980 12:00:00 AM,,121,83,17,Small Heath,0.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9EY,Yes,52.470122,-1.849760,410303,285809,SP103858,1/1/1980 12:00:00 AM,,121,149,25,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HA,Yes,52.470425,-1.847344,410467,285843,SP104858,1/1/1980 12:00:00 AM,,121,81,19,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HB,Yes,52.470802,-1.847240,410474,285885,SP104858,1/1/1980 12:00:00 AM,,122,127,30,Small Heath,1.1,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HD,Yes,52.470446,-1.850068,410282,285845,SP102858,1/1/1980 12:00:00 AM,,122,163,36,Small Heath,1.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HE,No,52.470043,-1.851276,410200,285800,SP102857,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,121,,,Small Heath,0.9,Birmingham,,,Birmingham,Small Heath,
B10 9HF,No,52.470501,-1.844209,410680,285852,SP106858,6/1/1998 12:00:00 AM,9/1/2000 12:00:00 AM,116,,,Small Heath,1.3,Birmingham,,,Birmingham,Small Heath,
B10 9HH,Yes,52.471558,-1.830627,411602,285972,SP116859,1/1/1980 12:00:00 AM,,118,102,30,Stechford,2.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HJ,Yes,52.470458,-1.828570,411742,285850,SP117858,1/1/1980 12:00:00 AM,,108,22,9,Tyseley,2.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HL,Yes,52.470040,-1.829018,411712,285803,SP117858,1/1/1980 12:00:00 AM,,109,20,4,Tyseley,1.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HN,Yes,52.469342,-1.831008,411577,285725,SP115857,1/1/1980 12:00:00 AM,,111,149,43,Tyseley,1.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HP,Yes,52.467657,-1.834768,411322,285537,SP113855,1/1/1980 12:00:00 AM,,110,124,40,Tyseley,1.5,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HR,Yes,52.465864,-1.838381,411077,285337,SP110853,1/1/1980 12:00:00 AM,,107,122,47,Tyseley,1.3,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HT,Yes,52.465704,-1.839633,410992,285319,SP109853,1/1/1980 12:00:00 AM,,109,32,8,Tyseley,1.3,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HU,Yes,52.465552,-1.840693,410920,285302,SP109853,1/1/1980 12:00:00 AM,,110,171,39,Tyseley,1.3,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HX,Yes,52.466487,-1.840219,410952,285406,SP109854,1/1/1980 12:00:00 AM,,111,83,24,Small Heath,1.3,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HY,Yes,52.466702,-1.839821,410979,285430,SP109854,1/1/1980 12:00:00 AM,,111,59,21,Small Heath,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9HZ,No,52.465533,-1.839516,411000,285300,SP109853,4/1/1987 12:00:00 AM,12/1/1990 12:00:00 AM,108,,,Tyseley,1.3,Birmingham,,,Birmingham,Small Heath,
B10 9JA,Yes,52.466556,-1.838408,411075,285414,SP110854,1/1/1980 12:00:00 AM,,108,52,16,Tyseley,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9JB,Yes,52.467295,-1.839495,411001,285496,SP110854,1/1/1980 12:00:00 AM,,110,103,32,Small Heath,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9JD,Yes,52.467474,-1.839082,411029,285516,SP110855,1/1/1980 12:00:00 AM,,110,93,31,Small Heath,1.4,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9JE,Yes,52.467990,-1.835150,411296,285574,SP112855,1/1/1980 12:00:00 AM,,112,146,43,Tyseley,1.6,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9JF,Yes,52.469657,-1.831419,411549,285760,SP115857,1/1/1980 12:00:00 AM,,113,153,42,Tyseley,1.8,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9JG,Yes,52.470581,-1.830091,411639,285863,SP116858,1/1/1980 12:00:00 AM,,114,21,5,Tyseley,1.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9JL,No,52.471820,-1.835077,411300,286000,SP112860,1/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,130,,,Small Heath,1.9,Birmingham,,,Birmingham,Small Heath,
B10 9JP,Yes,52.470933,-1.833750,411390,285902,SP113859,1/1/1980 12:00:00 AM,,124,146,40,Tyseley,1.9,Birmingham,Severn Trent,,Birmingham,Small Heath,
B10 9JQ,Yes,52.471230,-1.831296,411557,285935,SP115859,1/1/1980 12:00:00 AM,,120,60,15,Tyseley,2.0,Birmingham,Severn Trent,,Birmingham,Small Heath,
