Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BT60 4LH,No,54.342386,-6.730501,92669,504415,NV926044,12/1/1984 12:00:00 AM,2/1/2014 12:00:00 AM,56,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NL,Yes,54.353921,-6.789008,88956,505955,NV889059,12/1/1984 12:00:00 AM,,72,32,11,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NN,Yes,54.354903,-6.796516,88476,506097,NV884060,12/1/1984 12:00:00 AM,,67,13,5,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NP,Yes,54.356368,-6.805595,87898,506300,NV878063,12/1/1984 12:00:00 AM,,40,26,8,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NR,Yes,54.360090,-6.798580,88382,506683,NV883066,12/1/1984 12:00:00 AM,,54,12,4,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NS,Yes,54.356240,-6.817181,87145,506337,NV871063,12/1/1984 12:00:00 AM,,41,36,11,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NT,Yes,54.366373,-6.783719,89394,507315,NV893073,7/1/2008 12:00:00 AM,,45,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NU,Yes,54.375655,-6.794540,88762,508395,NV887083,12/1/1984 12:00:00 AM,,38,12,4,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NW,Yes,54.361890,-6.792620,88782,506856,NV887068,12/1/1984 12:00:00 AM,,49,25,6,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NX,Yes,54.377500,-6.786837,89276,508566,NV892085,12/1/1984 12:00:00 AM,,47,10,3,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NY,Yes,54.383938,-6.789110,89177,509291,NV891092,12/1/1984 12:00:00 AM,,59,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4NZ,Yes,54.368111,-6.775159,89963,507471,NV899074,12/1/1984 12:00:00 AM,,68,15,5,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4PA,Yes,54.375764,-6.782164,89566,508352,NV895083,12/1/1984 12:00:00 AM,,60,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4PB,Yes,54.365011,-6.767220,90454,507091,NV904070,12/1/1984 12:00:00 AM,,66,15,3,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4PD,Yes,54.357692,-6.775423,89867,506314,NV898063,12/1/1984 12:00:00 AM,,73,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4PE,Yes,54.353696,-6.769435,90225,505843,NV902058,12/1/1984 12:00:00 AM,,76,30,8,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4PS,Yes,54.353744,-6.712925,93895,505601,NV938056,12/1/1984 12:00:00 AM,,61,14,6,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4PT,Yes,54.347872,-6.722597,93223,504991,NV932049,12/1/1984 12:00:00 AM,,63,11,4,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4PU,Yes,54.359240,-6.726290,93068,506270,NV930062,12/1/1984 12:00:00 AM,,46,81,27,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4PX,Yes,54.348521,-6.738971,92164,505134,NV921051,12/1/1984 12:00:00 AM,,66,14,7,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4PZ,Yes,54.355571,-6.757843,90992,506001,NV909060,12/1/1984 12:00:00 AM,,61,25,9,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4QA,Yes,54.361275,-6.740334,92171,506558,NV921065,12/1/1984 12:00:00 AM,,56,30,11,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4QB,Yes,54.370247,-6.757385,91132,507630,NV911076,12/1/1984 12:00:00 AM,,52,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4QD,Yes,54.377208,-6.773041,90169,508472,NV901084,12/1/1984 12:00:00 AM,,84,43,12,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4QE,Yes,54.381765,-6.777646,89904,508999,NV899089,12/1/1984 12:00:00 AM,,79,12,5,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4QF,Yes,54.386365,-6.782142,89647,509530,NV896095,12/1/1984 12:00:00 AM,,69,18,6,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4QG,Yes,54.393269,-6.786079,89444,510315,NV894103,12/1/1984 12:00:00 AM,,67,45,12,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4QQ,Yes,54.396594,-6.795127,88883,510725,NV888107,12/1/1984 12:00:00 AM,,41,28,12,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4RE,Yes,54.348976,-6.827786,86401,505577,NV864055,12/1/1984 12:00:00 AM,,40,13,3,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT60 4RF,Yes,54.348187,-6.812291,87401,505420,NV874054,12/1/1984 12:00:00 AM,,53,13,4,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BH,Yes,54.359972,-6.703023,94584,506251,NV945062,12/1/1984 12:00:00 AM,,59,23,10,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BJ,Yes,54.364370,-6.707654,94316,506759,NV943067,12/1/1984 12:00:00 AM,,38,21,7,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BL,Yes,54.367409,-6.712882,93999,507120,NV939071,12/1/1984 12:00:00 AM,,36,50,13,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BN,Yes,54.374575,-6.731232,92862,507996,NV928079,12/1/1984 12:00:00 AM,,33,28,9,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BP,Yes,54.381691,-6.737323,92520,508814,NV925088,12/1/1984 12:00:00 AM,,32,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BQ,Yes,54.358321,-6.691553,95316,506017,NV953060,12/1/1984 12:00:00 AM,,51,11,4,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BR,Yes,54.361576,-6.719464,93528,506500,NV935065,12/1/1984 12:00:00 AM,,34,84,24,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BS,Yes,54.366851,-6.732378,92730,507143,NV927071,12/1/1984 12:00:00 AM,,50,31,12,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BT,Yes,54.371417,-6.746301,91860,507711,NV918077,12/1/1984 12:00:00 AM,,43,33,9,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BU,Yes,54.377617,-6.749837,91677,508416,NV916084,12/1/1984 12:00:00 AM,,49,42,13,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BW,Yes,54.365765,-6.723057,93326,506982,NV933069,12/1/1984 12:00:00 AM,,39,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BX,Yes,54.373214,-6.757664,91136,507961,NV911079,12/1/1984 12:00:00 AM,,53,8,4,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BY,Yes,54.379545,-6.763460,90808,508690,NV908086,12/1/1984 12:00:00 AM,,70,16,6,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8BZ,Yes,54.395024,-6.776682,90067,510469,NV900104,12/1/1984 12:00:00 AM,,70,28,9,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DG,No,54.395143,-6.669027,97050,510013,NV970100,6/1/2000 12:00:00 AM,7/1/2000 12:00:00 AM,27,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DH,Yes,54.364669,-6.673936,96507,506647,NV965066,12/1/1984 12:00:00 AM,,45,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DJ,Yes,54.370433,-6.681751,96042,507321,NV960073,12/1/1984 12:00:00 AM,,33,49,21,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DL,Yes,54.379575,-6.676549,96447,508315,NV964083,12/1/1984 12:00:00 AM,,42,38,11,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DN,No,54.382112,-6.671896,96768,508577,NV967085,12/1/1984 12:00:00 AM,9/1/2003 12:00:00 AM,39,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DR,Yes,54.392303,-6.669765,96981,509700,NV969097,12/1/1984 12:00:00 AM,,32,45,15,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DS,Yes,54.392995,-6.660767,97570,509739,NV975097,12/1/1984 12:00:00 AM,,31,98,32,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DT,Yes,54.397526,-6.650580,98264,510198,NV982101,12/1/1984 12:00:00 AM,,27,34,10,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DU,Yes,54.397785,-6.660980,97591,510272,NV975102,12/1/1984 12:00:00 AM,,24,69,18,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DW,Yes,54.384465,-6.670203,96895,508831,NV968088,12/1/1984 12:00:00 AM,,37,34,9,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DX,Yes,54.383807,-6.669178,96957,508753,NV969087,12/1/1984 12:00:00 AM,,32,12,6,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DY,Yes,54.378289,-6.664185,97240,508119,NV972081,12/1/1984 12:00:00 AM,,47,36,10,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8DZ,Yes,54.379535,-6.640566,98782,508156,NV987081,9/1/2016 12:00:00 AM,,49,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8EA,Yes,54.369516,-6.650037,98093,507083,NV980070,12/1/1984 12:00:00 AM,,51,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8EE,No,54.395143,-6.669027,97050,510013,NV970100,12/1/1999 12:00:00 AM,10/1/2007 12:00:00 AM,27,11,2,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8EN,Yes,54.373327,-6.644573,98476,507483,NV984074,12/1/1984 12:00:00 AM,,29,31,11,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8EU,Yes,54.388812,-6.642615,98717,509196,NV987091,12/1/1984 12:00:00 AM,,46,25,8,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8EW,Yes,54.377938,-6.636818,99013,507962,NV990079,12/1/1984 12:00:00 AM,,37,16,8,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8EX,Yes,54.379062,-6.640844,98760,508104,NV987081,12/1/1984 12:00:00 AM,,50,46,20,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8EY,Yes,54.379878,-6.651898,98049,508242,NV980082,12/1/1984 12:00:00 AM,,36,17,5,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8EZ,Yes,54.394517,-6.673327,96767,509962,NV967099,12/1/1984 12:00:00 AM,,22,46,15,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8GS,No,54.395143,-6.669027,97050,510013,NV970100,12/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,27,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8HB,Yes,54.386646,-6.690560,95590,509161,NV955091,12/1/1984 12:00:00 AM,,36,77,21,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8HD,Yes,54.372723,-6.702390,94720,507665,NV947076,12/1/1984 12:00:00 AM,,36,10,2,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8HE,Yes,54.376624,-6.711839,94135,508140,NV941081,12/1/1984 12:00:00 AM,,29,150,42,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8HF,Yes,54.378270,-6.725562,93257,508382,NV932083,12/1/1984 12:00:00 AM,,22,37,13,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8HG,Yes,54.362998,-6.687882,95589,506521,NV955065,12/1/1984 12:00:00 AM,,55,57,22,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LD,Yes,54.432916,-6.633143,99654,514057,NV996140,12/1/1984 12:00:00 AM,,35,48,15,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LE,Yes,54.427181,-6.643211,98960,513463,NV989134,12/1/1984 12:00:00 AM,,19,19,6,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LF,Yes,54.428326,-6.649152,98583,513616,NV985136,12/1/1984 12:00:00 AM,,25,44,14,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LG,Yes,54.438630,-6.635481,99545,514703,NV995147,12/1/1984 12:00:00 AM,,23,42,10,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LN,Yes,54.434153,-6.628171,99986,514174,NV999141,12/1/1984 12:00:00 AM,,22,8,4,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LQ,Yes,54.437933,-6.627936,100028,514593,NW000145,12/1/1984 12:00:00 AM,,24,16,7,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LR,Yes,54.412321,-6.656009,98021,511866,NV980118,12/1/1984 12:00:00 AM,,26,55,22,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LT,Yes,54.407133,-6.649218,98423,511260,NV984112,12/1/1984 12:00:00 AM,,19,77,25,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LU,Yes,54.400334,-6.644575,98674,510485,NV986104,12/1/1984 12:00:00 AM,,37,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LX,Yes,54.400857,-6.652842,98142,510578,NV981105,12/1/1984 12:00:00 AM,,28,79,24,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LY,Yes,54.399400,-6.644683,98660,510381,NV986103,12/1/1984 12:00:00 AM,,35,19,5,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT61 8LZ,Yes,54.398160,-6.644601,98657,510243,NV986102,12/1/1984 12:00:00 AM,,31,,,,,,Northern Ireland Water,,"Armagh City, Banbridge and Craigavon",Blackwatertown,
BT68 4TL,Yes,54.350149,-6.834827,85953,505739,NV859057,4/1/2007 12:00:00 AM,,38,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4TN,Yes,54.347169,-6.837879,85732,505421,NV857054,12/1/1984 12:00:00 AM,,46,11,5,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4TP,Yes,54.349789,-6.836590,85836,505707,NV858057,12/1/1984 12:00:00 AM,,47,6,4,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4TR,Yes,54.349731,-6.836100,85867,505698,NV858056,12/1/1984 12:00:00 AM,,46,11,5,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4TS,Yes,54.350642,-6.835567,85909,505797,NV859057,12/1/1984 12:00:00 AM,,41,29,15,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4TT,Yes,54.350568,-6.834461,85980,505784,NV859057,12/1/1984 12:00:00 AM,,37,13,7,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4TU,Yes,54.350165,-6.836426,85849,505748,NV858057,12/1/1984 12:00:00 AM,,45,12,4,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4TX,No,54.350110,-6.836366,85853,505741,NV858057,12/1/1984 12:00:00 AM,4/1/2002 12:00:00 AM,45,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4TY,Yes,54.352076,-6.837064,85822,505963,NV858059,9/1/2006 12:00:00 AM,,48,24,10,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4TZ,Yes,54.351038,-6.837524,85785,505850,NV857058,12/1/1984 12:00:00 AM,,45,58,28,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UA,Yes,54.351633,-6.838645,85716,505921,NV857059,12/1/1984 12:00:00 AM,,44,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UB,Yes,54.352203,-6.839060,85694,505986,NV856059,12/1/1984 12:00:00 AM,,44,52,22,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UD,Yes,54.351259,-6.839948,85629,505885,NV856058,12/1/1984 12:00:00 AM,,45,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UE,Yes,54.351474,-6.838911,85698,505904,NV856059,12/1/1984 12:00:00 AM,,45,41,12,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UF,Yes,54.351151,-6.838982,85691,505869,NV856058,12/1/1984 12:00:00 AM,,43,10,2,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UG,No,54.352821,-6.854900,84670,506126,NV846061,12/1/1984 12:00:00 AM,4/1/2002 12:00:00 AM,35,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UH,Yes,54.360394,-6.879656,83121,507078,NV831070,12/1/1984 12:00:00 AM,,54,14,4,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UJ,Yes,54.339468,-6.858407,84340,504657,NV843046,12/1/1984 12:00:00 AM,,43,19,9,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UL,Yes,54.355843,-6.893715,82174,506636,NV821066,12/1/1984 12:00:00 AM,,40,14,5,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UP,Yes,54.351885,-6.840607,85591,505958,NV855059,12/1/1984 12:00:00 AM,,46,29,10,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UQ,Yes,54.353561,-6.873397,83475,506291,NV834062,12/1/1984 12:00:00 AM,,36,34,13,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UR,Yes,54.352638,-6.841339,85549,506045,NV855060,8/1/1993 12:00:00 AM,,49,16,5,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4US,Yes,54.352748,-6.838814,85714,506046,NV857060,6/1/1998 12:00:00 AM,,44,7,5,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UT,Yes,54.352166,-6.841829,85514,505994,NV855059,1/1/2007 12:00:00 AM,,49,33,14,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UW,Yes,54.350892,-6.840097,85617,505845,NV856058,8/1/2021 12:00:00 AM,,46,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UX,Yes,54.354693,-6.834606,86002,506243,NV860062,12/1/1984 12:00:00 AM,,55,59,25,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UY,Yes,54.362030,-6.832383,86202,507048,NV862070,12/1/1984 12:00:00 AM,,40,14,5,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4UZ,Yes,54.353259,-6.838692,85726,506102,NV857061,12/1/1984 12:00:00 AM,,41,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XA,Yes,54.376468,-6.828726,86550,508637,NV865086,12/1/1984 12:00:00 AM,,44,10,4,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XB,Yes,54.390545,-6.825877,86842,510189,NV868101,12/1/1984 12:00:00 AM,,41,12,4,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XD,Yes,54.397924,-6.819800,87293,510982,NV872109,12/1/1984 12:00:00 AM,,47,12,6,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XE,Yes,54.364023,-6.838726,85806,507298,NV858072,12/1/1984 12:00:00 AM,,48,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XF,Yes,54.369354,-6.832637,86242,507864,NV862078,12/1/1984 12:00:00 AM,,46,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XG,Yes,54.373847,-6.829047,86509,508347,NV865083,12/1/1984 12:00:00 AM,,41,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XH,Yes,54.358943,-6.844931,85364,506761,NV853067,12/1/1984 12:00:00 AM,,50,48,18,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XJ,Yes,54.378270,-6.865056,84207,509000,NV842089,12/1/1984 12:00:00 AM,,45,12,5,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XL,Yes,54.389858,-6.869663,83997,510308,NV839103,12/1/1984 12:00:00 AM,,51,18,7,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XN,Yes,54.396821,-6.873551,83798,511100,NV837110,12/1/1984 12:00:00 AM,,62,10,4,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XP,Yes,54.370005,-6.896042,82132,508221,NV821082,12/1/1984 12:00:00 AM,,42,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XQ,Yes,54.353142,-6.839556,85669,506093,NV856060,12/1/1984 12:00:00 AM,,43,16,6,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XR,Yes,54.361844,-6.883970,82853,507259,NV828072,12/1/1984 12:00:00 AM,,48,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XS,Yes,54.376757,-6.883873,82974,508916,NV829089,12/1/1984 12:00:00 AM,,53,17,7,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XT,Yes,54.386000,-6.851159,85167,509796,NV851097,12/1/1984 12:00:00 AM,,63,25,8,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XU,Yes,54.372986,-6.845029,85465,508323,NV854083,12/1/1984 12:00:00 AM,,52,19,6,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XW,Yes,54.367851,-6.876791,83365,507894,NV833078,12/1/1984 12:00:00 AM,,41,31,11,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XX,Yes,54.398388,-6.852999,85143,511181,NV851111,12/1/1984 12:00:00 AM,,98,45,17,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XY,Yes,54.392903,-6.825425,86889,510449,NV868104,12/1/1984 12:00:00 AM,,41,14,7,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4XZ,Yes,54.396454,-6.829358,86662,510861,NV866108,12/1/1984 12:00:00 AM,,54,16,3,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4YA,Yes,54.384856,-6.811925,87704,509494,NV877094,12/1/1984 12:00:00 AM,,35,22,7,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4YB,Yes,54.391897,-6.879290,83388,510578,NV833105,12/1/1984 12:00:00 AM,,59,28,8,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4YD,Yes,54.385309,-6.881901,83168,509858,NV831098,12/1/1984 12:00:00 AM,,70,,,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT68 4YE,Yes,54.371767,-6.905012,81564,508457,NV815084,12/1/1984 12:00:00 AM,,51,14,6,,,,Northern Ireland Water,,Mid Ulster,Caledon,
BT69 6AA,Yes,54.413985,-6.974941,77358,513468,NV773134,12/1/1984 12:00:00 AM,,59,34,17,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AB,No,54.414194,-6.975229,77341,513492,NV773134,12/1/1984 12:00:00 AM,7/1/2004 12:00:00 AM,59,,,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AD,Yes,54.413957,-6.970598,77640,513445,NV776134,7/1/2002 12:00:00 AM,,53,100,30,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AE,Yes,54.415641,-6.974176,77421,513648,NV774136,12/1/1984 12:00:00 AM,,52,41,18,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AF,Yes,54.414952,-6.973500,77459,513569,NV774135,12/1/1984 12:00:00 AM,,51,34,16,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AG,Yes,54.415547,-6.972623,77521,513631,NV775136,12/1/1984 12:00:00 AM,,49,46,16,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AH,Yes,54.413885,-6.972633,77507,513446,NV775134,12/1/1984 12:00:00 AM,,52,19,8,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AJ,Yes,54.411067,-6.973058,77457,513135,NV774131,12/1/1984 12:00:00 AM,,55,,,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AL,Yes,54.412643,-6.973419,77446,513312,NV774133,12/1/1984 12:00:00 AM,,51,15,5,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AN,Yes,54.412593,-6.974945,77347,513313,NV773133,12/1/1984 12:00:00 AM,,51,,,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AP,Yes,54.413537,-6.974059,77412,513414,NV774134,4/1/1985 12:00:00 AM,,56,,,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AQ,Yes,54.414680,-6.973199,77477,513537,NV774135,12/1/1984 12:00:00 AM,,51,21,10,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
BT69 6AR,Yes,54.414291,-6.976073,77287,513507,NV772135,12/1/1984 12:00:00 AM,,60,48,30,,,,Northern Ireland Water,,Mid Ulster,Aughnacloy,
