Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GU12 5RH,Yes,51.284030,-0.713851,489794,154662,SU897546,1/1/1980 12:00:00 AM,,84,58,19,Ash Vale,1.4,Mytchett,South East Water,Thames Water,Surrey Heath,Mytchett & Deepcut,Frimley Green and Mytchett
GU12 5RJ,Yes,51.282933,-0.712218,489910,154542,SU899545,1/1/1980 12:00:00 AM,,81,66,25,Ash Vale,1.4,Mytchett,South East Water,Thames Water,Surrey Heath,Mytchett & Deepcut,Frimley Green and Mytchett
GU12 5RL,No,51.283519,-0.718081,489500,154600,SU894546,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,85,,,North Camp,1.3,,,,Surrey Heath,Mytchett & Deepcut,Frimley Green and Mytchett
GU12 5RN,No,51.283519,-0.718081,489500,154600,SU894546,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,85,,,North Camp,1.3,,,,Surrey Heath,Mytchett & Deepcut,Frimley Green and Mytchett
GU12 6BL,Yes,51.251360,-0.702382,490658,151043,SU906510,1/1/2005 12:00:00 AM,,83,1,1,Ash,0.8,,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DD,Yes,51.253945,-0.705175,490458,151327,SU904513,1/1/1980 12:00:00 AM,,92,29,15,Ash,0.7,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DE,Yes,51.252430,-0.704773,490489,151159,SU904511,1/1/1980 12:00:00 AM,,84,11,5,Ash,0.6,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DF,Yes,51.252801,-0.704218,490527,151201,SU905512,1/1/1980 12:00:00 AM,,86,30,12,Ash,0.7,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DG,Yes,51.253785,-0.703775,490556,151311,SU905513,1/1/1980 12:00:00 AM,,91,28,12,Ash,0.8,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DH,No,51.253695,-0.704580,490500,151300,SU905512,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,91,,,Ash,0.7,Wyke,,,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DJ,Yes,51.254278,-0.702773,490625,151367,SU906513,1/1/1980 12:00:00 AM,,93,19,8,Ash,0.9,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DL,Yes,51.255165,-0.704123,490529,151464,SU905514,1/1/1980 12:00:00 AM,,102,26,11,Ash,0.9,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DN,Yes,51.254658,-0.704639,490494,151407,SU904514,1/1/1980 12:00:00 AM,,96,8,4,Ash,0.8,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DQ,Yes,51.253969,-0.703340,490586,151332,SU905513,1/1/1980 12:00:00 AM,,92,15,7,Ash,0.8,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DT,Yes,51.253141,-0.702461,490649,151241,SU906512,1/1/1980 12:00:00 AM,,87,48,17,Ash,0.8,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DU,Yes,51.239420,-0.693073,491331,149727,SU913497,2/1/2008 12:00:00 AM,,90,,,Ash,1.8,,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DW,Yes,51.255109,-0.703136,490598,151459,SU905514,1/1/1980 12:00:00 AM,,98,14,5,Ash,0.9,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DX,Yes,51.254260,-0.701211,490734,151367,SU907513,1/1/1980 12:00:00 AM,,90,10,4,Ash,1.0,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DY,Yes,51.255075,-0.699239,490870,151460,SU908514,1/1/1980 12:00:00 AM,,84,13,5,Ash,1.1,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6DZ,Yes,51.251893,-0.698584,490922,151107,SU909511,1/1/1980 12:00:00 AM,,77,96,33,Ash,1.0,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6EA,Yes,51.250774,-0.698243,490948,150983,SU909509,1/1/1980 12:00:00 AM,,80,106,36,Ash,1.0,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6EB,Yes,51.251418,-0.698712,490914,151054,SU909510,1/1/1980 12:00:00 AM,,78,12,8,Ash,1.0,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6ED,Yes,51.248522,-0.694639,491204,150737,SU912507,1/1/1980 12:00:00 AM,,71,1,1,Ash,1.3,,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6EE,Yes,51.247448,-0.698337,490948,150613,SU909506,1/1/1980 12:00:00 AM,,86,12,3,Ash,1.0,,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6EF,Yes,51.243475,-0.697041,491046,150173,SU910501,1/1/1980 12:00:00 AM,,84,4,2,Ash,1.3,,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6EG,Yes,51.241488,-0.696098,491116,149953,SU911499,1/1/1980 12:00:00 AM,,88,9,3,Ash,1.5,,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6EH,Yes,51.238507,-0.690811,491491,149628,SU914496,1/1/1980 12:00:00 AM,,90,15,7,Wanborough,1.7,,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6EJ,Yes,51.252364,-0.700448,490791,151157,SU907511,4/1/1986 12:00:00 AM,,83,2,1,Ash,0.9,Wyke,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU12 6EQ,Yes,51.240818,-0.696432,491094,149878,SU910498,1/1/1980 12:00:00 AM,,89,2,1,Ash,1.5,,South East Water,Thames Water,Guildford,Normandy & Pirbright,Worplesdon
GU15 1AA,Yes,51.332811,-0.716979,489481,160083,SU894600,1/1/1980 12:00:00 AM,,96,16,8,Camberley,1.9,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1AB,Yes,51.334221,-0.715146,489606,160242,SU896602,1/1/1980 12:00:00 AM,,97,100,37,Camberley,2.0,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1AD,Yes,51.332807,-0.715013,489618,160085,SU896600,1/1/1980 12:00:00 AM,,105,31,11,Camberley,2.1,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1AE,Yes,51.333604,-0.714660,489641,160174,SU896601,1/1/1980 12:00:00 AM,,101,67,15,Camberley,2.1,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1AF,Yes,51.333846,-0.718687,489360,160196,SU893601,1/1/1980 12:00:00 AM,,91,41,16,Camberley,1.8,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1AG,Yes,51.331393,-0.706627,490205,159938,SU902599,1/1/1980 12:00:00 AM,,109,24,10,Camberley,2.7,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1AH,Yes,51.330809,-0.706657,490204,159873,SU902598,1/1/1980 12:00:00 AM,,107,41,12,Camberley,2.7,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1AJ,Yes,51.330127,-0.704308,490369,159800,SU903598,1/1/1980 12:00:00 AM,,114,24,9,Camberley,2.9,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1AL,Yes,51.336738,-0.715104,489604,160522,SU896605,4/1/1985 12:00:00 AM,,96,102,35,Camberley,2.0,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1AN,Yes,51.332645,-0.712491,489794,160070,SU897600,1/1/1993 12:00:00 AM,,112,13,5,Camberley,2.2,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1AP,Yes,51.335212,-0.717831,489417,160349,SU894603,3/1/1988 12:00:00 AM,,90,28,9,Camberley,1.8,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1AQ,Yes,51.331364,-0.707216,490164,159934,SU901599,1/1/1980 12:00:00 AM,,112,29,11,Camberley,2.6,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1AS,Yes,51.329340,-0.704718,490342,159712,SU903597,1/1/1980 12:00:00 AM,,115,100,38,Camberley,2.9,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1AT,Yes,51.329550,-0.703363,490436,159737,SU904597,1/1/1980 12:00:00 AM,,117,49,18,Camberley,2.9,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1AU,Yes,51.328885,-0.703439,490432,159663,SU904596,1/1/1980 12:00:00 AM,,117,31,12,Camberley,3.0,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1AX,Yes,51.329710,-0.702397,490503,159756,SU905597,1/1/1980 12:00:00 AM,,118,23,12,Camberley,3.0,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1AY,Yes,51.328741,-0.700989,490603,159650,SU906596,1/1/1980 12:00:00 AM,,118,,,Camberley,3.1,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1AZ,Yes,51.328221,-0.703572,490424,159589,SU904595,1/1/1980 12:00:00 AM,,116,42,15,Camberley,3.0,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BA,Yes,51.328618,-0.704509,490358,159632,SU903596,1/1/1980 12:00:00 AM,,115,15,6,Camberley,2.9,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BB,Yes,51.328082,-0.703175,490452,159574,SU904595,1/1/1980 12:00:00 AM,,116,51,17,Camberley,3.0,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BD,Yes,51.327968,-0.702604,490492,159562,SU904595,1/1/1980 12:00:00 AM,,117,53,18,Camberley,3.0,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BE,Yes,51.327146,-0.702325,490513,159471,SU905594,1/1/1980 12:00:00 AM,,116,55,25,Camberley,3.1,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BF,Yes,51.330613,-0.709218,490026,159848,SU900598,12/1/1994 12:00:00 AM,,112,31,11,Camberley,2.5,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BG,Yes,51.327984,-0.701685,490556,159565,SU905595,1/1/1980 12:00:00 AM,,117,38,14,Camberley,3.1,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BH,Yes,51.327553,-0.701654,490559,159517,SU905595,1/1/1980 12:00:00 AM,,116,27,13,Camberley,3.1,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BJ,Yes,51.327766,-0.699854,490684,159543,SU906595,1/1/1980 12:00:00 AM,,117,37,15,Camberley,3.2,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BL,Yes,51.326932,-0.699203,490731,159451,SU907594,1/1/1980 12:00:00 AM,,116,40,18,Camberley,3.3,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BN,Yes,51.326793,-0.701316,490584,159433,SU905594,1/1/1980 12:00:00 AM,,116,100,40,Camberley,3.2,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BP,Yes,51.326121,-0.699857,490687,159360,SU906593,1/1/1980 12:00:00 AM,,115,25,8,Camberley,3.3,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BQ,Yes,51.328195,-0.701248,490586,159589,SU905595,1/1/1980 12:00:00 AM,,117,31,11,Camberley,3.1,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BS,Yes,51.326448,-0.699403,490718,159397,SU907593,1/1/1980 12:00:00 AM,,117,33,13,Camberley,3.3,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BT,Yes,51.325598,-0.698968,490750,159303,SU907593,1/1/1980 12:00:00 AM,,116,54,18,Camberley,3.4,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BU,No,51.330854,-0.766641,486025,159806,SU860598,12/1/2001 12:00:00 AM,5/1/2011 12:00:00 AM,59,,,Blackwater,0.7,Camberley,,,Surrey Heath,St Michaels,Camberley West
GU15 1BW,Yes,51.326865,-0.700453,490644,159442,SU906594,1/1/1980 12:00:00 AM,,115,13,6,Camberley,3.2,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1BX,No,51.330854,-0.766641,486025,159806,SU860598,12/1/2001 12:00:00 AM,7/1/2003 12:00:00 AM,59,,,Blackwater,0.7,Camberley,,,Surrey Heath,St Michaels,Camberley West
GU15 1BY,Yes,51.341136,-0.717623,489420,161008,SU894610,8/1/2002 12:00:00 AM,,103,19,12,Camberley,1.9,Camberley,South East Water,Thames Water,Surrey Heath,St Pauls,Camberley East
GU15 1BZ,No,51.327425,-0.703939,490400,159500,SU904595,1/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,115,,,Camberley,3.0,Camberley,,,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DA,Yes,51.332732,-0.718790,489355,160072,SU893600,1/1/1980 12:00:00 AM,,92,18,6,Camberley,1.8,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1DB,Yes,51.331606,-0.715305,489600,159951,SU895599,1/1/1980 12:00:00 AM,,107,30,11,Camberley,2.1,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1DD,Yes,51.331940,-0.718769,489358,159984,SU893599,1/1/1980 12:00:00 AM,,93,24,10,Camberley,1.8,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1DE,Yes,51.331559,-0.717617,489439,159943,SU894599,1/1/1980 12:00:00 AM,,101,48,15,Camberley,1.9,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1DF,Yes,51.332369,-0.716030,489548,160035,SU895600,1/1/1980 12:00:00 AM,,101,12,5,Camberley,2.0,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1DG,Yes,51.331894,-0.714507,489655,159984,SU896599,1/1/1980 12:00:00 AM,,113,29,11,Camberley,2.1,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1DH,Yes,51.329024,-0.710353,489950,159670,SU899596,1/1/1980 12:00:00 AM,,105,27,11,Camberley,2.5,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DJ,Yes,51.329266,-0.708581,490073,159699,SU900596,1/1/1980 12:00:00 AM,,102,49,19,Camberley,2.6,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DL,Yes,51.329542,-0.705947,490256,159733,SU902597,1/1/1980 12:00:00 AM,,107,97,37,Camberley,2.8,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DN,Yes,51.328564,-0.711052,489902,159618,SU899596,1/1/1980 12:00:00 AM,,105,32,16,Camberley,2.5,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DP,Yes,51.327364,-0.709854,489988,159486,SU899594,1/1/1980 12:00:00 AM,,98,99,37,Camberley,2.6,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DQ,No,51.330778,-0.716103,489546,159858,SU895598,1/1/1980 12:00:00 AM,2/1/2011 12:00:00 AM,110,,,Camberley,2.1,Camberley,,,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1DR,Yes,51.326732,-0.710389,489952,159415,SU899594,1/1/1980 12:00:00 AM,,96,22,7,Camberley,2.6,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DS,Yes,51.325693,-0.710748,489929,159299,SU899592,1/1/1980 12:00:00 AM,,98,39,13,Camberley,2.6,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DT,Yes,51.330432,-0.714864,489633,159821,SU896598,1/1/1980 12:00:00 AM,,109,12,5,Camberley,2.1,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1DU,Yes,51.331425,-0.713616,489718,159933,SU897599,12/1/1999 12:00:00 AM,,117,14,5,Camberley,2.2,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1DW,Yes,51.328043,-0.705411,490296,159567,SU902595,1/1/1980 12:00:00 AM,,109,82,32,Camberley,2.9,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DX,No,51.333615,-0.709119,490027,160182,SU900601,7/1/1995 12:00:00 AM,6/1/1999 12:00:00 AM,116,,,Camberley,2.5,Camberley,,,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DY,Yes,51.330701,-0.710708,489922,159856,SU899598,8/1/1992 12:00:00 AM,,116,22,7,Camberley,2.4,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1DZ,Yes,51.330580,-0.710436,489941,159843,SU899598,1/1/1980 12:00:00 AM,,114,8,2,Camberley,2.4,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EA,Yes,51.328327,-0.717277,489469,159584,SU894595,1/1/1980 12:00:00 AM,,107,22,9,Camberley,2.1,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1EB,Yes,51.330080,-0.709075,490037,159789,SU900597,8/1/1992 12:00:00 AM,,108,36,12,Camberley,2.5,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1ED,Yes,51.333677,-0.705012,490313,160194,SU903601,1/1/1980 12:00:00 AM,,114,35,14,Camberley,2.7,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EE,Yes,51.323667,-0.721152,489208,159061,SU892590,1/1/1980 12:00:00 AM,,90,41,15,Camberley,2.1,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1EF,Yes,51.325151,-0.722073,489141,159225,SU891592,1/1/1980 12:00:00 AM,,109,59,25,Camberley,2.0,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1EG,Yes,51.327171,-0.719290,489331,159453,SU893594,1/1/1980 12:00:00 AM,,113,76,34,Camberley,2.0,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1EH,Yes,51.327511,-0.716697,489511,159494,SU895594,1/1/1980 12:00:00 AM,,113,73,24,Camberley,2.2,Camberley,South East Water,Severn Trent,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1EJ,Yes,51.326953,-0.716652,489515,159432,SU895594,1/1/1980 12:00:00 AM,,113,35,11,Camberley,2.2,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EL,Yes,51.327325,-0.715310,489608,159475,SU896594,1/1/1980 12:00:00 AM,,112,26,17,Camberley,2.2,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EN,Yes,51.327993,-0.713023,489766,159552,SU897595,1/1/1980 12:00:00 AM,,111,19,7,Camberley,2.4,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EP,Yes,51.327806,-0.714019,489697,159530,SU896595,1/1/1980 12:00:00 AM,,113,14,4,Camberley,2.3,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EQ,Yes,51.330563,-0.707985,490112,159844,SU901598,8/1/1993 12:00:00 AM,,107,91,30,Camberley,2.6,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1ER,Yes,51.326563,-0.713089,489764,159393,SU897593,1/1/1980 12:00:00 AM,,102,40,14,Camberley,2.4,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1ES,Yes,51.327288,-0.711909,489845,159475,SU898594,1/1/1980 12:00:00 AM,,105,30,12,Camberley,2.5,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1ET,Yes,51.328896,-0.712553,489797,159653,SU897596,1/1/1980 12:00:00 AM,,113,23,9,Camberley,2.4,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EU,Yes,51.332363,-0.708910,490044,160043,SU900600,1/1/1980 12:00:00 AM,,118,9,3,Camberley,2.5,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EW,Yes,51.326856,-0.714332,489677,159424,SU896594,1/1/1980 12:00:00 AM,,111,26,10,Camberley,2.3,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EX,Yes,51.331631,-0.709419,490010,159961,SU900599,8/1/1993 12:00:00 AM,,118,104,44,Camberley,2.5,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EY,No,51.334475,-0.708851,490044,160278,SU900602,8/1/1993 12:00:00 AM,6/1/2000 12:00:00 AM,117,,,Camberley,2.5,Camberley,,,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1EZ,Yes,51.329828,-0.710647,489928,159759,SU899597,6/1/1998 12:00:00 AM,,110,17,5,Camberley,2.4,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1FA,No,51.330854,-0.766641,486025,159806,SU860598,12/1/2000 12:00:00 AM,9/1/2002 12:00:00 AM,59,,,Blackwater,0.7,Camberley,,,Surrey Heath,St Michaels,Camberley West
GU15 1FB,Yes,51.330927,-0.726502,488821,159862,SU888598,6/1/2002 12:00:00 AM,,82,24,14,Camberley,1.4,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1FD,Yes,51.330786,-0.715959,489556,159859,SU895598,6/1/2011 12:00:00 AM,,110,,,Camberley,2.1,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1FE,Yes,51.329473,-0.722556,489099,159705,SU890597,6/1/2015 12:00:00 AM,,96,,,Camberley,1.7,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1FF,Yes,51.328164,-0.723019,489069,159559,SU890595,6/1/2019 12:00:00 AM,,109,,,Camberley,1.7,Camberley,,,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1GA,Yes,51.336533,-0.719388,489306,160494,SU893604,9/1/2013 12:00:00 AM,,92,,,Camberley,1.7,Camberley,South East Water,Thames Water,Surrey Heath,St Pauls,Camberley East
GU15 1HA,Yes,51.331876,-0.710446,489938,159987,SU899599,1/1/1980 12:00:00 AM,,117,12,5,Camberley,2.4,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1HB,Yes,51.335893,-0.704490,490345,160441,SU903604,1/1/1980 12:00:00 AM,,119,47,16,Camberley,2.8,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1HD,Yes,51.333978,-0.706181,490231,160226,SU902602,1/1/1980 12:00:00 AM,,117,55,21,Camberley,2.7,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1HE,Yes,51.336846,-0.702095,490510,160550,SU905605,1/1/1980 12:00:00 AM,,122,11,4,Camberley,2.9,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1HF,Yes,51.337629,-0.701297,490564,160638,SU905606,1/1/1980 12:00:00 AM,,122,51,18,Camberley,3.0,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1HG,Yes,51.334553,-0.707729,490122,160288,SU901602,1/1/1980 12:00:00 AM,,118,152,59,Camberley,2.5,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1HH,Yes,51.337182,-0.703980,490378,160585,SU903605,1/1/1980 12:00:00 AM,,118,49,21,Camberley,2.8,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1HJ,Yes,51.335910,-0.701963,490521,160446,SU905604,1/1/1980 12:00:00 AM,,119,16,6,Camberley,2.9,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1HL,Yes,51.335273,-0.703732,490399,160373,SU903603,3/1/1988 12:00:00 AM,,118,59,20,Camberley,2.8,Camberley,South East Water,Thames Water,Surrey Heath,Heatherside,Heatherside and Parkside
GU15 1HN,Yes,51.326587,-0.731692,488468,159373,SU884593,3/1/2007 12:00:00 AM,,78,20,10,Camberley,1.4,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1HP,Yes,51.324602,-0.735292,488221,159148,SU882591,1/1/1980 12:00:00 AM,,76,94,36,Camberley,1.4,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1HQ,Yes,51.326495,-0.732312,488425,159362,SU884593,6/1/2002 12:00:00 AM,,78,22,12,Camberley,1.4,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1HR,Yes,51.324028,-0.733769,488328,159086,SU883590,1/1/1980 12:00:00 AM,,81,5,2,Camberley,1.5,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1HS,Yes,51.325007,-0.733601,488338,159195,SU883591,1/1/1980 12:00:00 AM,,77,14,3,Camberley,1.5,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1HT,Yes,51.326749,-0.730066,488581,159393,SU885593,1/1/1980 12:00:00 AM,,84,13,4,Camberley,1.5,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1HU,Yes,51.327187,-0.728992,488655,159443,SU886594,1/1/1980 12:00:00 AM,,85,111,37,Camberley,1.5,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1HW,Yes,51.328116,-0.730904,488520,159544,SU885595,1/1/1993 12:00:00 AM,,78,112,35,Camberley,1.3,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
GU15 1HX,Yes,51.327898,-0.729905,488590,159521,SU885595,1/1/1980 12:00:00 AM,,81,66,21,Camberley,1.4,Camberley,South East Water,Thames Water,Surrey Heath,Parkside,Heatherside and Parkside
