Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
M1 1AA,No,53.487362,-2.227197,385022,398985,SJ850989,7/1/1995 12:00:00 AM,4/1/2009 12:00:00 AM,54,,,Manchester Victoria,1.0,Manchester,,,Manchester,Piccadilly,
M1 1AD,Yes,53.483784,-2.244866,383848,398591,SJ838985,3/1/2003 12:00:00 AM,,46,,,Manchester Victoria,0.4,Manchester,United Utilities,,Manchester,Deansgate,
M1 1AE,Yes,53.483471,-2.231184,384756,398553,SJ847985,1/1/2005 12:00:00 AM,,56,30,18,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1AF,Yes,53.480547,-2.237150,384359,398229,SJ843982,6/1/2005 12:00:00 AM,,52,,,Manchester Piccadilly,0.5,Manchester,,,Manchester,Piccadilly,
M1 1AG,Yes,53.483282,-2.231454,384738,398532,SJ847985,3/1/2010 12:00:00 AM,,56,,,Manchester Piccadilly,0.7,Manchester,,,Manchester,Piccadilly,
M1 1AH,No,53.483701,-2.233295,384616,398579,SJ846985,7/1/2004 12:00:00 AM,10/1/2021 12:00:00 AM,54,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1AJ,Yes,53.482993,-2.232267,384684,398500,SJ846985,3/1/2006 12:00:00 AM,,55,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1AL,Yes,53.483183,-2.230472,384803,398521,SJ848985,1/1/2018 12:00:00 AM,,54,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1AN,Yes,53.481927,-2.235154,384492,398382,SJ844983,10/1/2014 12:00:00 AM,,57,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1AP,No,53.476716,-2.224458,385200,397800,SJ851978,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,49,,,Manchester Piccadilly,0.4,Manchester,,,Manchester,Piccadilly,
M1 1AQ,Yes,53.483183,-2.230472,384803,398521,SJ848985,5/1/2018 12:00:00 AM,,53,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1AR,Yes,53.483559,-2.231363,384744,398563,SJ847985,7/1/2018 12:00:00 AM,,57,,,Manchester Piccadilly,0.7,Manchester,,,Manchester,Piccadilly,
M1 1AS,Yes,53.483123,-2.233832,384580,398515,SJ845985,8/1/2022 12:00:00 AM,,54,,,Manchester Piccadilly,0.7,Manchester,,,Manchester,Piccadilly,
M1 1AT,No,53.476716,-2.224458,385200,397800,SJ851978,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,49,,,Manchester Piccadilly,0.4,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1AU,Yes,53.483753,-2.233248,384619,398585,SJ846985,2/1/2022 12:00:00 AM,,54,,,Manchester Piccadilly,0.7,Manchester,,,Manchester,Piccadilly,
M1 1AW,Yes,53.483663,-2.233097,384629,398575,SJ846985,6/1/2022 12:00:00 AM,,54,,,Manchester Piccadilly,0.7,Manchester,,,Manchester,Piccadilly,
M1 1BA,Yes,53.482412,-2.235187,384490,398436,SJ844984,12/1/2001 12:00:00 AM,,55,41,21,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1BB,Yes,53.483163,-2.232539,384666,398519,SJ846985,10/1/2002 12:00:00 AM,,55,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1BE,Yes,53.482702,-2.232941,384639,398468,SJ846984,12/1/1995 12:00:00 AM,,55,1,1,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1BX,No,53.481927,-2.235169,384491,398382,SJ844983,1/1/2005 12:00:00 AM,2/1/2007 12:00:00 AM,57,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1BY,Yes,53.481927,-2.235169,384491,398382,SJ844983,6/1/2002 12:00:00 AM,,57,112,62,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1BZ,Yes,53.483530,-2.245829,383784,398563,SJ837985,6/1/2005 12:00:00 AM,,47,1,1,Manchester Victoria,0.5,Manchester,United Utilities,,Manchester,Deansgate,
M1 1DB,Yes,53.482620,-2.233332,384613,398459,SJ846984,1/1/1980 12:00:00 AM,,55,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1DD,No,53.482990,-2.233532,384600,398500,SJ846984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,54,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1DE,Yes,53.482811,-2.233215,384621,398480,SJ846984,1/1/1980 12:00:00 AM,,54,1,1,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1DF,Yes,53.483356,-2.233848,384579,398541,SJ845985,1/1/1980 12:00:00 AM,,53,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1DG,No,53.482987,-2.235039,384500,398500,SJ845984,9/1/1991 12:00:00 AM,1/1/1995 12:00:00 AM,53,,,Manchester Piccadilly,0.7,Manchester,,,Manchester,Piccadilly,
M1 1DH,No,53.482990,-2.233532,384600,398500,SJ846984,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,54,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1DL,No,53.482987,-2.235039,384500,398500,SJ845984,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,53,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1DN,Yes,53.482880,-2.233921,384574,398488,SJ845984,1/1/1980 12:00:00 AM,,54,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1DQ,No,53.482089,-2.235034,384500,398400,SJ845984,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,57,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1DR,No,53.482819,-2.233863,384578,398481,SJ845984,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,54,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1DT,No,53.482064,-2.233829,384580,398397,SJ845983,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,57,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1DU,Yes,53.482187,-2.234008,384568,398411,SJ845984,1/1/2018 12:00:00 AM,,57,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1DW,Yes,53.482215,-2.233691,384589,398414,SJ845984,1/1/1980 12:00:00 AM,,57,2,1,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1DX,No,53.482089,-2.235034,384500,398400,SJ845984,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,57,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1DY,No,53.482180,-2.234131,384560,398410,SJ845984,8/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,57,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1DZ,Yes,53.482172,-2.234010,384568,398409,SJ845984,8/1/1992 12:00:00 AM,,57,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EA,Yes,53.482034,-2.234188,384556,398394,SJ845983,1/1/1980 12:00:00 AM,,57,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EB,Yes,53.483587,-2.231622,384727,398566,SJ847985,5/1/1994 12:00:00 AM,,57,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1ED,Yes,53.482200,-2.232184,384689,398412,SJ846984,1/1/1992 12:00:00 AM,,55,,,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EE,Yes,53.482642,-2.231479,384736,398461,SJ847984,1/1/1980 12:00:00 AM,,54,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EF,No,53.483382,-2.231108,384761,398543,SJ847985,1/1/1980 12:00:00 AM,5/1/2001 12:00:00 AM,56,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EG,No,53.483650,-2.231562,384731,398573,SJ847985,5/1/1994 12:00:00 AM,4/1/2017 12:00:00 AM,58,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EH,Yes,53.483700,-2.232615,384661,398579,SJ846985,12/1/1996 12:00:00 AM,,55,3,1,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EJ,Yes,53.484160,-2.233132,384627,398630,SJ846986,1/1/1980 12:00:00 AM,,54,7,4,Manchester Victoria,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EL,Yes,53.482183,-2.232714,384654,398410,SJ846984,5/1/1994 12:00:00 AM,,55,31,16,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EN,No,53.483111,-2.231815,384714,398513,SJ847985,12/1/1995 12:00:00 AM,4/1/2017 12:00:00 AM,55,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EP,Yes,53.483012,-2.231784,384716,398502,SJ847985,6/1/2001 12:00:00 AM,,55,83,48,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1ER,Yes,53.483012,-2.231784,384716,398502,SJ847985,6/1/2001 12:00:00 AM,,55,99,50,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1ES,No,53.482092,-2.233527,384600,398400,SJ846984,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,57,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1ET,Yes,53.482462,-2.232565,384664,398441,SJ846984,1/1/1980 12:00:00 AM,,55,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EU,Yes,53.482887,-2.231136,384759,398488,SJ847984,4/1/2005 12:00:00 AM,,54,77,46,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EW,Yes,53.482887,-2.231136,384759,398488,SJ847984,6/1/2005 12:00:00 AM,,54,101,55,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EX,Yes,53.482931,-2.231935,384706,398493,SJ847984,12/1/1996 12:00:00 AM,,54,12,5,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EY,Yes,53.481651,-2.233630,384593,398351,SJ845983,1/1/1980 12:00:00 AM,,58,,,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1EZ,Yes,53.481748,-2.234641,384526,398362,SJ845983,1/1/1980 12:00:00 AM,,58,,,Manchester Piccadilly,0.5,Manchester,,,Manchester,Piccadilly,
M1 1FA,No,53.481190,-2.235029,384500,398300,SJ845983,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,58,,,Manchester Piccadilly,0.5,Manchester,,,Manchester,Piccadilly,
M1 1FB,Yes,53.482164,-2.233272,384617,398408,SJ846984,1/1/1980 12:00:00 AM,,57,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1FF,No,53.482095,-2.232021,384700,398400,SJ846984,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,55,,,Manchester Piccadilly,0.5,Manchester,,,Manchester,Piccadilly,
M1 1FH,No,53.483480,-2.231169,384757,398554,SJ847985,1/1/1980 12:00:00 AM,11/1/2002 12:00:00 AM,56,,,Manchester Piccadilly,0.7,Manchester,,,Manchester,Piccadilly,
M1 1FJ,Yes,53.483882,-2.231772,384717,398599,SJ847985,1/1/1980 12:00:00 AM,,58,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1FL,Yes,53.483637,-2.232569,384664,398572,SJ846985,1/1/1980 12:00:00 AM,,56,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1FN,Yes,53.483115,-2.233335,384613,398514,SJ846985,10/1/2009 12:00:00 AM,,54,1,1,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1FP,No,53.482990,-2.233532,384600,398500,SJ846984,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,54,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1FR,Yes,53.482144,-2.233224,384620,398406,SJ846984,5/1/1994 12:00:00 AM,,56,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1FS,No,53.482092,-2.233527,384600,398400,SJ846984,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,57,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1FT,Yes,53.481865,-2.233237,384619,398375,SJ846983,1/1/1980 12:00:00 AM,,57,1,1,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1FY,Yes,53.481522,-2.234004,384568,398337,SJ845983,1/1/1980 12:00:00 AM,,58,,,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1FZ,Yes,53.481361,-2.233883,384576,398319,SJ845983,7/1/2018 12:00:00 AM,,58,,,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1HA,No,53.481406,-2.234714,384521,398324,SJ845983,12/1/1999 12:00:00 AM,4/1/2007 12:00:00 AM,58,,,Manchester Piccadilly,0.5,Manchester,,,Manchester,Piccadilly,
M1 1HE,Yes,53.481264,-2.234111,384561,398308,SJ845983,1/1/1980 12:00:00 AM,,58,27,17,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1HF,Yes,53.481074,-2.234336,384546,398287,SJ845982,1/1/1980 12:00:00 AM,,58,,,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1HH,No,53.481417,-2.233885,384576,398325,SJ845983,1/1/1980 12:00:00 AM,4/1/2003 12:00:00 AM,58,,,Manchester Piccadilly,0.5,Manchester,,,Manchester,Piccadilly,
M1 1HJ,No,53.481190,-2.235029,384500,398300,SJ845983,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,58,,,Manchester Piccadilly,0.5,Manchester,,,Manchester,Piccadilly,
M1 1HL,Yes,53.481029,-2.234411,384541,398282,SJ845982,1/1/1980 12:00:00 AM,,58,,,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1HN,No,53.480291,-2.235024,384500,398200,SJ845982,1/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,58,,,Manchester Piccadilly,0.4,Manchester,,,Manchester,Piccadilly,
M1 1HP,Yes,53.481395,-2.234696,384522,398323,SJ845983,1/1/1980 12:00:00 AM,,58,1,1,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1HR,Yes,53.482036,-2.233419,384607,398394,SJ846983,1/1/1992 12:00:00 AM,,57,3,1,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1HW,Yes,53.481009,-2.234468,384537,398280,SJ845982,1/1/1980 12:00:00 AM,,58,,,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JA,Yes,53.482366,-2.234581,384530,398431,SJ845984,10/1/1985 12:00:00 AM,,55,6,4,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JB,No,53.482449,-2.234494,384536,398440,SJ845984,1/1/1980 12:00:00 AM,2/1/2015 12:00:00 AM,56,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1JD,No,53.482089,-2.235034,384500,398400,SJ845984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,57,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1JE,No,53.482574,-2.234901,384509,398454,SJ845984,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,55,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1JF,Yes,53.482851,-2.234599,384529,398485,SJ845984,1/1/1980 12:00:00 AM,,54,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JG,Yes,53.482327,-2.236329,384414,398427,SJ844984,1/1/1980 12:00:00 AM,,53,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JH,No,53.482092,-2.233527,384600,398400,SJ846984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,57,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1JJ,Yes,53.482998,-2.234421,384541,398501,SJ845985,1/1/1980 12:00:00 AM,,53,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JL,No,53.483096,-2.234497,384536,398512,SJ845985,1/1/1980 12:00:00 AM,1/1/2003 12:00:00 AM,53,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JN,Yes,53.482601,-2.235278,384484,398457,SJ844984,1/1/1980 12:00:00 AM,,54,19,13,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JP,No,53.482086,-2.236541,384400,398400,SJ844984,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,53,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1JQ,Yes,53.481898,-2.236058,384432,398379,SJ844983,1/1/1980 12:00:00 AM,,54,34,16,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JR,Yes,53.482876,-2.235669,384458,398488,SJ844984,2/1/1990 12:00:00 AM,,53,,,Manchester Victoria,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JS,No,53.482086,-2.236541,384400,398400,SJ844984,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,53,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1JT,No,53.482222,-2.235653,384459,398415,SJ844984,12/1/2000 12:00:00 AM,5/1/2003 12:00:00 AM,55,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JU,Yes,53.481998,-2.235667,384458,398390,SJ844983,6/1/1981 12:00:00 AM,,55,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1JW,Yes,53.482203,-2.235334,384480,398413,SJ844984,1/1/1980 12:00:00 AM,,55,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LA,No,53.482086,-2.236541,384400,398400,SJ844984,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,53,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1LB,No,53.482086,-2.236541,384400,398400,SJ844984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,53,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1LD,No,53.482086,-2.236541,384400,398400,SJ844984,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,53,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LG,Yes,53.481806,-2.236916,384375,398369,SJ843983,1/1/1980 12:00:00 AM,,54,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LN,Yes,53.481530,-2.234923,384507,398338,SJ845983,1/1/1980 12:00:00 AM,,58,2,2,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LP,No,53.481184,-2.238043,384300,398300,SJ842983,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,54,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1LQ,Yes,53.481393,-2.235751,384452,398323,SJ844983,1/1/1980 12:00:00 AM,,55,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LR,No,53.481476,-2.235905,384442,398332,SJ844983,1/1/1980 12:00:00 AM,5/1/2015 12:00:00 AM,54,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LS,Yes,53.481653,-2.237066,384365,398352,SJ843983,1/1/1980 12:00:00 AM,,54,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LT,Yes,53.481662,-2.237142,384360,398353,SJ843983,8/1/1992 12:00:00 AM,,54,18,14,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LU,Yes,53.481511,-2.236417,384408,398336,SJ844983,2/1/1990 12:00:00 AM,,53,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LW,Yes,53.482349,-2.234325,384547,398429,SJ845984,1/1/1980 12:00:00 AM,,55,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1LX,No,53.482636,-2.240161,384160,398462,SJ841984,1/1/1980 12:00:00 AM,8/1/2005 12:00:00 AM,56,,,Manchester Victoria,0.6,Manchester,,,Manchester,Piccadilly,
M1 1LY,Yes,53.481806,-2.237293,384350,398369,SJ843983,1/1/1992 12:00:00 AM,,55,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1LZ,Yes,53.481814,-2.237805,384316,398370,SJ843983,1/1/1980 12:00:00 AM,,57,,,Manchester Piccadilly,0.7,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1NA,No,53.481181,-2.239550,384200,398300,SJ841983,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,59,,,Manchester Piccadilly,0.7,Manchester,,,Manchester,Deansgate,
M1 1NB,No,53.481386,-2.235739,384453,398322,SJ844983,1/1/1980 12:00:00 AM,8/1/2019 12:00:00 AM,55,,,Manchester Piccadilly,0.5,Manchester,,,Manchester,Piccadilly,
M1 1ND,No,53.481184,-2.238043,384300,398300,SJ842983,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,54,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1NL,No,53.482080,-2.239555,384200,398400,SJ841984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,58,,,Manchester Victoria,0.6,Manchester,,,Manchester,Deansgate,
M1 1NN,Yes,53.482627,-2.240176,384159,398461,SJ841984,1/1/1980 12:00:00 AM,,56,,,Manchester Victoria,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1NP,No,53.482975,-2.241067,384100,398500,SJ840984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,55,,,Manchester Victoria,0.5,Manchester,,,Manchester,Piccadilly,
M1 1NQ,No,53.482972,-2.242574,384000,398500,SJ839984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,56,,,Manchester Victoria,0.5,Manchester,,,Manchester,Piccadilly,
M1 1NS,No,53.482625,-2.232204,384688,398459,SJ846984,2/1/1990 12:00:00 AM,4/1/2012 12:00:00 AM,54,,,Manchester Piccadilly,0.6,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1NW,No,53.481476,-2.235905,384442,398332,SJ844983,6/1/1998 12:00:00 AM,9/1/2000 12:00:00 AM,54,,,Manchester Piccadilly,0.6,Manchester,,,Manchester,Piccadilly,
M1 1PA,No,53.482080,-2.239555,384200,398400,SJ841984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,58,,,Manchester Victoria,0.6,Manchester,,,Manchester,Deansgate,
M1 1PB,Yes,53.482043,-2.239901,384177,398396,SJ841983,1/1/1980 12:00:00 AM,,58,,,Manchester Victoria,0.6,Manchester,United Utilities,,Manchester,Deansgate,
M1 1PD,Yes,53.482212,-2.240610,384130,398415,SJ841984,1/1/1980 12:00:00 AM,,57,,,Manchester Victoria,0.6,Manchester,United Utilities,,Manchester,Deansgate,
M1 1PE,No,53.482077,-2.241062,384100,398400,SJ840984,1/1/1980 12:00:00 AM,8/1/1997 12:00:00 AM,56,,,Manchester Victoria,0.6,Manchester,,,Manchester,Deansgate,
M1 1PF,No,53.482972,-2.242574,384000,398500,SJ839984,8/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,56,,,Manchester Victoria,0.5,Manchester,,,Manchester,Piccadilly,
M1 1PH,No,53.482966,-2.245588,383800,398500,SJ837984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,50,,,Manchester Victoria,0.5,Manchester,,,Manchester,Deansgate,
M1 1PJ,No,53.482077,-2.241062,384100,398400,SJ840984,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,56,,,Manchester Victoria,0.6,Manchester,,,Manchester,Deansgate,
M1 1PL,Yes,53.482754,-2.242932,383976,398476,SJ839984,1/1/1980 12:00:00 AM,,56,,,Manchester Victoria,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1PN,Yes,53.482326,-2.241121,384096,398428,SJ840984,1/1/1980 12:00:00 AM,,56,,,Manchester Victoria,0.6,Manchester,United Utilities,,Manchester,Deansgate,
M1 1PP,No,53.482972,-2.242574,384000,398500,SJ839984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,56,,,Manchester Victoria,0.5,Manchester,,,Manchester,Piccadilly,
M1 1PS,No,53.482966,-2.245588,383800,398500,SJ837984,4/1/1985 12:00:00 AM,12/1/1988 12:00:00 AM,50,,,Manchester Victoria,0.5,Manchester,,,Manchester,Deansgate,
M1 1PT,Yes,53.482856,-2.241380,384079,398487,SJ840984,1/1/1980 12:00:00 AM,,52,,,Manchester Victoria,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1PU,No,53.483695,-2.245471,383808,398581,SJ838985,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,46,,,Manchester Victoria,0.5,Manchester,United Utilities,,Manchester,Deansgate,
M1 1PW,Yes,53.482496,-2.242390,384012,398447,SJ840984,1/1/1980 12:00:00 AM,,56,,,Manchester Victoria,0.6,Manchester,United Utilities,,Manchester,Deansgate,
M1 1PX,Yes,53.483278,-2.245948,383776,398535,SJ837985,1/1/1980 12:00:00 AM,,48,,,Manchester Victoria,0.5,Manchester,United Utilities,,Manchester,Deansgate,
M1 1QA,No,53.482074,-2.242569,384000,398400,SJ839984,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,56,,,Manchester Victoria,0.6,Manchester,,,Manchester,Deansgate,
M1 1QB,No,53.482077,-2.241062,384100,398400,SJ840984,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,56,,,Manchester Victoria,0.6,Manchester,,,Manchester,Deansgate,
M1 1RG,Yes,53.480457,-2.236304,384415,398219,SJ844982,6/1/1999 12:00:00 AM,,52,,,Manchester Piccadilly,0.5,Manchester,United Utilities,,Manchester,Piccadilly,
M1 1RN,Yes,53.480333,-2.236441,384406,398205,SJ844982,2/1/2005 12:00:00 AM,,52,,,Manchester Piccadilly,0.5,Manchester,,,Manchester,Piccadilly,
M1 1SF,No,53.479389,-2.236526,384400,398100,SJ844980,3/1/1988 12:00:00 AM,1/1/1995 12:00:00 AM,56,,,Manchester Piccadilly,0.4,Manchester,United Utilities,,Manchester,Piccadilly,
