Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SW15 1AA,Yes,51.464124,-0.222906,523546,175403,TQ235754,1/1/1980 12:00:00 AM,,10,54,21,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AB,Yes,51.464472,-0.222772,523554,175442,TQ235754,1/1/1980 12:00:00 AM,,11,55,18,Putney,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AD,Yes,51.464664,-0.223599,523496,175462,TQ234754,1/1/1980 12:00:00 AM,,11,54,14,Putney,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AE,Yes,51.464428,-0.224587,523428,175434,TQ234754,1/1/1980 12:00:00 AM,,11,43,18,Putney,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AF,Yes,51.464891,-0.224834,523410,175485,TQ234754,1/1/1980 12:00:00 AM,,11,49,14,Putney,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AG,Yes,51.465451,-0.226261,523309,175545,TQ233755,1/1/1980 12:00:00 AM,,10,66,19,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AH,Yes,51.464812,-0.226804,523273,175473,TQ232754,1/1/1980 12:00:00 AM,,12,117,34,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AJ,No,51.465500,-0.228908,523125,175546,TQ231755,1/1/1980 12:00:00 AM,8/1/2005 12:00:00 AM,11,,,Barnes,0.9,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1AL,Yes,51.466042,-0.229636,523073,175605,TQ230756,1/1/1980 12:00:00 AM,,11,110,42,Barnes,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AN,Yes,51.464441,-0.226622,523287,175432,TQ232754,1/1/1980 12:00:00 AM,,13,127,41,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AP,Yes,51.466679,-0.228373,523159,175678,TQ231756,1/1/1980 12:00:00 AM,,9,28,12,Barnes,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AQ,Yes,51.465216,-0.226788,523273,175518,TQ232755,1/1/1980 12:00:00 AM,,11,62,23,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AR,No,51.465904,-0.223494,523500,175600,TQ234756,2/1/1990 12:00:00 AM,7/1/1995 12:00:00 AM,11,,,Putney,0.7,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1AS,No,51.464918,-0.217773,523900,175500,TQ239755,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,13,,,Putney,0.4,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1AT,Yes,51.465451,-0.216212,524007,175562,TQ240755,10/1/1985 12:00:00 AM,,13,60,22,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AU,No,51.465027,-0.224967,523400,175500,TQ234755,10/1/1984 12:00:00 AM,7/1/1995 12:00:00 AM,11,,,Putney,0.7,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1AW,Yes,51.463805,-0.223206,523526,175367,TQ235753,1/1/1980 12:00:00 AM,,10,129,62,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AX,Yes,51.464842,-0.216322,524001,175494,TQ240754,1/1/1980 12:00:00 AM,,12,25,11,Putney,0.4,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AY,Yes,51.465335,-0.217440,523922,175547,TQ239755,1/1/1980 12:00:00 AM,,13,26,12,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1AZ,Yes,51.465362,-0.218577,523843,175548,TQ238755,1/1/1980 12:00:00 AM,,12,42,15,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BA,Yes,51.466430,-0.222033,523600,175661,TQ236756,1/1/1980 12:00:00 AM,,11,92,48,Putney,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BB,Yes,51.466813,-0.223559,523493,175701,TQ234757,1/1/1980 12:00:00 AM,,12,64,28,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BD,Yes,51.467019,-0.225264,523374,175721,TQ233757,1/1/1980 12:00:00 AM,,12,70,25,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BE,Yes,51.467630,-0.226436,523291,175787,TQ232757,1/1/1980 12:00:00 AM,,10,50,17,Putney,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BF,Yes,51.466229,-0.221787,523618,175639,TQ236756,1/1/2005 12:00:00 AM,,11,3,1,Putney,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BG,Yes,51.466437,-0.227216,523240,175653,TQ232756,1/1/1980 12:00:00 AM,,10,150,48,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BH,Yes,51.465924,-0.227207,523242,175596,TQ232755,1/1/1980 12:00:00 AM,,10,36,10,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BJ,Yes,51.465366,-0.228352,523164,175532,TQ231755,1/1/1980 12:00:00 AM,,11,30,14,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BL,Yes,51.465572,-0.230691,523001,175551,TQ230755,1/1/1980 12:00:00 AM,,10,80,24,Barnes,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BN,Yes,51.465327,-0.231118,522972,175523,TQ229755,1/1/1980 12:00:00 AM,,10,121,42,Barnes,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BP,Yes,51.466463,-0.231923,522913,175648,TQ229756,1/1/1980 12:00:00 AM,,10,82,26,Barnes,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BQ,Yes,51.466658,-0.226416,523295,175679,TQ232756,1/1/1980 12:00:00 AM,,10,39,15,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BS,No,51.466013,-0.230688,523000,175600,TQ229756,5/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,10,,,Barnes,0.8,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1BT,Yes,51.464647,-0.228984,523122,175451,TQ231754,3/1/2006 12:00:00 AM,,12,20,9,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BU,No,51.464940,-0.219212,523800,175500,TQ237755,2/1/1990 12:00:00 AM,12/1/1994 12:00:00 AM,13,,,Putney,0.4,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1BW,Yes,51.465647,-0.233293,522820,175555,TQ228755,1/1/1980 12:00:00 AM,,11,28,11,Barnes,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BX,No,51.464940,-0.219212,523800,175500,TQ237755,7/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,13,,,Putney,0.4,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1BY,Yes,51.465224,-0.218424,523854,175533,TQ238755,7/1/1990 12:00:00 AM,,12,,,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1BZ,No,51.460362,-0.218598,523855,174992,TQ238749,7/1/2002 12:00:00 AM,1/1/2014 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1DA,Yes,51.465180,-0.216055,524019,175532,TQ240755,1/1/1980 12:00:00 AM,,12,13,10,Putney,0.4,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DB,Yes,51.465816,-0.217067,523947,175601,TQ239756,1/1/1980 12:00:00 AM,,13,28,21,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DD,Yes,51.466174,-0.217528,523914,175640,TQ239756,1/1/1980 12:00:00 AM,,12,37,12,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DE,Yes,51.468046,-0.223603,523487,175838,TQ234758,12/1/1999 12:00:00 AM,,11,13,6,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DF,Yes,51.465709,-0.217704,523903,175588,TQ239755,1/1/1980 12:00:00 AM,,13,44,26,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DG,Yes,51.466459,-0.218525,523844,175670,TQ238756,1/1/1980 12:00:00 AM,,12,74,30,Putney,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DH,Yes,51.466713,-0.219949,523744,175696,TQ237756,1/1/1980 12:00:00 AM,,10,104,42,Putney,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DJ,Yes,51.467094,-0.220755,523687,175737,TQ236757,1/1/1980 12:00:00 AM,,10,58,32,Putney,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DL,Yes,51.466844,-0.220866,523680,175709,TQ236757,1/1/1980 12:00:00 AM,,10,75,33,Putney,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DN,Yes,51.466586,-0.220420,523712,175681,TQ237756,1/1/1980 12:00:00 AM,,10,17,8,Putney,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DP,Yes,51.466895,-0.222380,523575,175712,TQ235757,1/1/1980 12:00:00 AM,,11,76,33,Putney,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DQ,Yes,51.466136,-0.219761,523759,175632,TQ237756,1/1/1980 12:00:00 AM,,11,60,30,Putney,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DR,Yes,51.467182,-0.221831,523612,175745,TQ236757,1/1/1980 12:00:00 AM,,12,84,38,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DS,Yes,51.467358,-0.222118,523592,175764,TQ235757,1/1/1980 12:00:00 AM,,12,69,34,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DT,Yes,51.467533,-0.223589,523489,175781,TQ234757,1/1/1980 12:00:00 AM,,12,96,40,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DU,Yes,51.467225,-0.224076,523456,175746,TQ234757,1/1/1980 12:00:00 AM,,12,26,15,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DW,Yes,51.466429,-0.220767,523688,175663,TQ236756,1/1/1980 12:00:00 AM,,11,33,16,Putney,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DX,Yes,51.467691,-0.223876,523469,175798,TQ234757,1/1/1980 12:00:00 AM,,12,106,49,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DY,Yes,51.467694,-0.224734,523409,175797,TQ234757,1/1/1980 12:00:00 AM,,12,123,44,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1DZ,Yes,51.467713,-0.226015,523320,175797,TQ233757,1/1/1980 12:00:00 AM,,11,107,42,Putney,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EA,No,51.466759,-0.220581,523700,175700,TQ236757,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,10,,,Putney,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EB,Yes,51.466666,-0.219231,523794,175692,TQ237756,1/1/1980 12:00:00 AM,,10,52,23,Putney,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1ED,Yes,51.466424,-0.220426,523712,175663,TQ237756,10/1/2006 12:00:00 AM,,11,5,2,Putney,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EE,Yes,51.466396,-0.216809,523963,175666,TQ239756,1/1/1980 12:00:00 AM,,13,140,67,Putney Bridge,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EF,Yes,51.465861,-0.218284,523862,175604,TQ238756,1/1/1980 12:00:00 AM,,12,27,6,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EG,No,51.465816,-0.217738,523900,175600,TQ239755,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,12,,,Putney,0.5,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1EH,No,51.460362,-0.218598,523855,174992,TQ238749,12/1/2001 12:00:00 AM,3/1/2002 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1EJ,Yes,51.466023,-0.214750,524107,175628,TQ241756,1/1/1980 12:00:00 AM,,10,,,Putney Bridge,0.4,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EL,Yes,51.466023,-0.214750,524107,175628,TQ241756,1/1/1980 12:00:00 AM,,10,12,8,Putney Bridge,0.4,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EN,Yes,51.466256,-0.215317,524067,175653,TQ240756,8/1/1992 12:00:00 AM,,11,99,48,Putney Bridge,0.4,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EP,Yes,51.466891,-0.216847,523959,175721,TQ239757,1/1/1980 12:00:00 AM,,11,70,28,Putney Bridge,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1ER,Yes,51.466938,-0.216975,523950,175726,TQ239757,1/1/1980 12:00:00 AM,,11,6,3,Putney Bridge,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1ES,Yes,51.466985,-0.217693,523900,175730,TQ238757,1/1/1980 12:00:00 AM,,11,14,8,Putney Bridge,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1ET,Yes,51.467053,-0.218611,523836,175736,TQ238757,1/1/1980 12:00:00 AM,,10,69,30,Putney Bridge,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EU,Yes,51.467291,-0.220128,523730,175760,TQ237757,1/1/1980 12:00:00 AM,,10,27,12,Putney,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EW,Yes,51.466480,-0.215812,524032,175677,TQ240756,1/1/1980 12:00:00 AM,,11,69,32,Putney Bridge,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EX,Yes,51.467668,-0.221827,523611,175799,TQ236757,1/1/1980 12:00:00 AM,,12,22,12,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1EY,No,51.467701,-0.223424,523500,175800,TQ234757,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,12,,,Putney,0.9,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1EZ,Yes,51.467871,-0.222755,523546,175820,TQ235758,1/1/1980 12:00:00 AM,,11,45,24,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1FB,No,51.460362,-0.218598,523855,174992,TQ238749,12/1/1996 12:00:00 AM,4/1/2006 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1FD,No,51.467701,-0.223424,523500,175800,TQ234757,5/1/2000 12:00:00 AM,10/1/2000 12:00:00 AM,12,,,Putney,0.9,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1FE,No,51.460362,-0.218598,523855,174992,TQ238749,6/1/2000 12:00:00 AM,9/1/2001 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1FF,No,51.460362,-0.218598,523855,174992,TQ238749,6/1/2000 12:00:00 AM,9/1/2001 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1FG,No,51.460362,-0.218598,523855,174992,TQ238749,12/1/2000 12:00:00 AM,4/1/2006 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1FH,No,51.460362,-0.218598,523855,174992,TQ238749,12/1/2000 12:00:00 AM,2/1/2003 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1FJ,No,51.460362,-0.218598,523855,174992,TQ238749,12/1/2000 12:00:00 AM,2/1/2006 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1FL,No,51.460362,-0.218598,523855,174992,TQ238749,12/1/2000 12:00:00 AM,3/1/2006 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1FN,No,51.460362,-0.218598,523855,174992,TQ238749,12/1/2000 12:00:00 AM,4/1/2006 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1FP,No,51.460362,-0.218598,523855,174992,TQ238749,6/1/2001 12:00:00 AM,3/1/2002 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1FR,No,51.460362,-0.218598,523855,174992,TQ238749,1/1/2004 12:00:00 AM,4/1/2006 12:00:00 AM,19,,,Putney,0.2,Wandsworth,,,Wandsworth,West Putney,
SW15 1HA,Yes,51.466148,-0.216487,523986,175639,TQ239756,1/1/1980 12:00:00 AM,,13,95,43,Putney Bridge,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HB,Yes,51.465743,-0.215846,524032,175595,TQ240755,1/1/1980 12:00:00 AM,,13,56,22,Putney,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HD,Yes,51.468683,-0.227077,523244,175903,TQ232759,12/1/2005 12:00:00 AM,,9,16,6,Barnes,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HE,No,51.466325,-0.221620,523629,175650,TQ236756,1/1/1991 12:00:00 AM,7/1/2000 12:00:00 AM,11,,,Putney,0.7,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1HF,Yes,51.466862,-0.217271,523930,175717,TQ239757,1/1/1991 12:00:00 AM,,11,7,3,Putney Bridge,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HH,Yes,51.468315,-0.224687,523411,175866,TQ234758,1/1/1980 12:00:00 AM,,11,79,33,Putney,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HJ,Yes,51.468267,-0.226915,523256,175857,TQ232758,1/1/1980 12:00:00 AM,,9,62,25,Barnes,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HL,Yes,51.467884,-0.227741,523200,175813,TQ231758,1/1/1980 12:00:00 AM,,10,9,5,Barnes,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HN,Yes,51.467834,-0.228040,523179,175807,TQ231758,1/1/1980 12:00:00 AM,,9,15,10,Barnes,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HP,Yes,51.468876,-0.227328,523226,175924,TQ232759,1/1/1980 12:00:00 AM,,9,18,9,Barnes,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HR,Yes,51.469218,-0.227373,523222,175962,TQ232759,1/1/1980 12:00:00 AM,,10,14,11,Barnes,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HS,Yes,51.469909,-0.227326,523223,176039,TQ232760,1/1/1980 12:00:00 AM,,10,41,24,Barnes,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HT,Yes,51.470587,-0.227559,523205,176114,TQ232761,1/1/1980 12:00:00 AM,,8,23,12,Barnes,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HU,Yes,51.470916,-0.227906,523180,176150,TQ231761,1/1/1980 12:00:00 AM,,7,24,12,Barnes,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HW,No,51.469297,-0.228430,523148,175969,TQ231759,1/1/1980 12:00:00 AM,12/1/2008 12:00:00 AM,9,,,Barnes,1.0,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1HX,Yes,51.471407,-0.227628,523198,176205,TQ231762,1/1/1980 12:00:00 AM,,6,25,11,Barnes,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HY,Yes,51.471128,-0.227006,523242,176175,TQ232761,1/1/1980 12:00:00 AM,,6,83,32,Barnes,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1HZ,Yes,51.471008,-0.226180,523300,176163,TQ232761,1/1/1980 12:00:00 AM,,7,92,38,Barnes,1.2,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JA,Yes,51.470791,-0.225564,523343,176140,TQ233761,1/1/1980 12:00:00 AM,,7,54,29,Putney Bridge,1.2,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JB,Yes,51.470681,-0.224834,523394,176129,TQ233761,1/1/1980 12:00:00 AM,,7,59,23,Putney Bridge,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JD,Yes,51.470476,-0.224353,523428,176107,TQ234761,1/1/1980 12:00:00 AM,,7,37,24,Putney Bridge,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JE,Yes,51.470326,-0.226250,523297,176087,TQ232760,1/1/1980 12:00:00 AM,,9,39,19,Barnes,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JF,Yes,51.469020,-0.232127,522892,175932,TQ228759,8/1/1992 12:00:00 AM,,8,2,1,Barnes,0.7,,Thames Water,,Wandsworth,Thamesfield,
SW15 1JJ,Yes,51.468883,-0.226018,523317,175927,TQ233759,6/1/1997 12:00:00 AM,,9,9,3,Putney,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JL,No,51.466715,-0.217703,523900,175700,TQ239756,9/1/1981 12:00:00 AM,12/1/1984 12:00:00 AM,11,,,Putney Bridge,0.6,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1JN,Yes,51.467148,-0.216592,523976,175750,TQ239757,1/1/1980 12:00:00 AM,,9,29,6,Putney Bridge,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JP,Yes,51.467316,-0.218774,523824,175765,TQ238757,1/1/1980 12:00:00 AM,,10,43,25,Putney Bridge,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JQ,No,51.466715,-0.217703,523900,175700,TQ239756,1/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,11,,,Putney Bridge,0.6,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1JR,Yes,51.467546,-0.218520,523841,175791,TQ238757,1/1/1980 12:00:00 AM,,10,91,33,Putney Bridge,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JS,Yes,51.468028,-0.219495,523772,175843,TQ237758,1/1/1980 12:00:00 AM,,10,93,36,Putney Bridge,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JT,Yes,51.467587,-0.220030,523736,175793,TQ237757,1/1/1980 12:00:00 AM,,10,20,8,Putney Bridge,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JU,Yes,51.468738,-0.220020,523734,175921,TQ237759,1/1/1980 12:00:00 AM,,9,134,78,Putney Bridge,0.7,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JW,Yes,51.467148,-0.216592,523976,175750,TQ239757,1/1/1980 12:00:00 AM,,9,29,15,Putney Bridge,0.5,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JX,Yes,51.468489,-0.220240,523719,175893,TQ237758,1/1/1980 12:00:00 AM,,9,86,37,Putney Bridge,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JY,Yes,51.468331,-0.221081,523661,175874,TQ236758,1/1/1980 12:00:00 AM,,11,96,44,Putney Bridge,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1JZ,Yes,51.468623,-0.221372,523640,175906,TQ236759,1/1/1980 12:00:00 AM,,10,66,31,Putney Bridge,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LA,Yes,51.468844,-0.221680,523618,175930,TQ236759,1/1/1980 12:00:00 AM,,9,82,39,Putney Bridge,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LB,Yes,51.470041,-0.221121,523654,176064,TQ236760,1/1/1980 12:00:00 AM,,7,46,14,Putney Bridge,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LD,No,51.468556,-0.220511,523700,175900,TQ236758,1/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,10,,,Putney Bridge,0.8,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1LE,Yes,51.468141,-0.218655,523830,175857,TQ238758,1/1/1980 12:00:00 AM,,9,25,16,Putney Bridge,0.6,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LG,No,51.469477,-0.221915,523600,176000,TQ235760,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,8,,,Putney Bridge,0.9,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1LH,Yes,51.470024,-0.224773,523400,176056,TQ234760,12/1/1996 12:00:00 AM,,8,18,9,Putney Bridge,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LJ,No,51.468578,-0.221950,523600,175900,TQ235758,9/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,10,,,Putney Bridge,0.9,Wandsworth,,,Wandsworth,Thamesfield,
SW15 1LL,Yes,51.467800,-0.220992,523669,175815,TQ236758,1/1/1980 12:00:00 AM,,11,42,22,Putney,0.8,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LN,Yes,51.468232,-0.222804,523542,175860,TQ235758,1/1/1980 12:00:00 AM,,11,70,33,Putney,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LP,Yes,51.469100,-0.222549,523557,175957,TQ235759,1/1/1980 12:00:00 AM,,9,86,33,Putney Bridge,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LQ,Yes,51.470264,-0.225830,523326,176081,TQ233760,2/1/2004 12:00:00 AM,,9,10,6,Putney Bridge,1.2,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LR,Yes,51.469243,-0.223076,523520,175972,TQ235759,1/1/1980 12:00:00 AM,,9,65,29,Putney Bridge,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LS,Yes,51.469455,-0.223413,523496,175995,TQ234759,1/1/1980 12:00:00 AM,,9,57,25,Putney Bridge,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LT,Yes,51.469402,-0.224121,523447,175988,TQ234759,1/1/1980 12:00:00 AM,,9,126,59,Putney Bridge,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LU,Yes,51.468619,-0.225260,523370,175899,TQ233758,1/1/1980 12:00:00 AM,,10,73,38,Putney,1.0,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LW,Yes,51.469165,-0.222100,523588,175965,TQ235759,1/1/1980 12:00:00 AM,,9,84,37,Putney Bridge,0.9,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
SW15 1LX,Yes,51.469596,-0.225602,523344,176007,TQ233760,1/1/1980 12:00:00 AM,,9,109,46,Putney,1.1,Wandsworth,Thames Water,,Wandsworth,Thamesfield,
